ID	Chromosome	Count
GLYMA_09G000400	9	1
GLYMA_09G244300	9	1
GLYMA_09G097800	9	1
GLYMA_09G283000	9	1
GLYMA_09G232200	9	1
GLYMA_09G160300	9	1
GLYMA_09G088000	9	1
GLYMA_09G154200	9	1
GLYMA_09G043600	9	1
GLYMA_09G235800	9	1
GLYMA_09G227000	9	1
GLYMA_09G261900	9	1
GLYMA_09G180500	9	1
GLYMA_09G286100	9	1
GLYMA_09G237800	9	1
GLYMA_09G006400	9	1
GLYMA_09G086600	9	1
GLYMA_09G168800	9	1
GLYMA_09G017100	9	1
GLYMA_09G272000	9	1
GLYMA_09G286300	9	1
GLYMA_09G237200	9	1
GLYMA_09G236700	9	1
GLYMA_09G200600	9	1
GLYMA_09G218800	9	1
GLYMA_09G129400	9	1
GLYMA_09G157400	9	1
GLYMA_09G177900	9	1
GLYMA_09G268500	9	1
GLYMA_09G013300	9	1
GLYMA_09G013600	9	1
GLYMA_09G082100	9	1
GLYMA_09G013400	9	1
GLYMA_09G056200	9	1
GLYMA_09G156000	9	1
GLYMA_09G256600	9	1
GLYMA_09G178300	9	1
GLYMA_09G175100	9	1
GLYMA_09G176600	9	1
GLYMA_09G176000	9	1
GLYMA_09G175800	9	1
GLYMA_09G171200	9	1
GLYMA_09G174600	9	1
GLYMA_09G279300	9	1
GLYMA_09G050500	9	1
GLYMA_09G089200	9	1
GLYMA_09G200200	9	1
GLYMA_09G169000	9	1
GLYMA_09G242500	9	1
GLYMA_09G274800	9	1
GLYMA_09G172300	9	1
GLYMA_09G178400	9	1
GLYMA_09G175000	9	1
GLYMA_09G058600	9	1
GLYMA_09G282100	9	1
GLYMA_16G152800	16	1
GLYMA_16G179400	16	1
GLYMA_16G034600	16	1
GLYMA_16G049100	16	1
GLYMA_16G209700	16	1
GLYMA_16G172800	16	1
GLYMA_16G044700	16	1
GLYMA_16G049800	16	1
GLYMA_16G221300	16	1
GLYMA_16G204800	16	1
GLYMA_16G115600	16	1
GLYMA_16G022100	16	1
GLYMA_16G161800	16	1
GLYMA_16G206000	16	1
GLYMA_16G026000	16	1
GLYMA_16G218400	16	1
GLYMA_16G035600	16	1
GLYMA_16G211900	16	1
GLYMA_16G177300	16	1
GLYMA_16G066300	16	1
GLYMA_16G206600	16	1
GLYMA_16G199700	16	1
GLYMA_16G195100	16	1
GLYMA_16G195900	16	1
GLYMA_16G195700	16	1
GLYMA_16G197600	16	1
GLYMA_16G195000	16	1
GLYMA_16G160200	16	1
GLYMA_16G165400	16	1
GLYMA_16G162100	16	1
GLYMA_16G161900	16	1
GLYMA_16G162700	16	1
GLYMA_16G162800	16	1
GLYMA_16G163100	16	1
GLYMA_16G160700	16	1
GLYMA_16G139800	16	1
GLYMA_16G108300	16	1
GLYMA_16G053700	16	1
