ID	Number
GLYMA_07G101300	4
GLYMA_16G162800	5
GLYMA_16G199700	1
GLYMA_06G033500	0
GLYMA_16G162700	5
GLYMA_09G256600	5
GLYMA_12G118300	4
GLYMA_16G162100	5
GLYMA_16G163100	3
GLYMA_16G161900	5
GLYMA_16G139800	5
GLYMA_16G165400	3
GLYMA_16G160200	3
GLYMA_16G195000	3
GLYMA_09G176000	3
GLYMA_16G160700	5
GLYMA_09G175000	4
GLYMA_16G197600	4
GLYMA_16G195100	1
GLYMA_16G195700	0
GLYMA_09G178300	6
GLYMA_16G195900	0
GLYMA_09G176600	4
GLYMA_09G175100	4
GLYMA_10G074100	2
GLYMA_09G171200	5
GLYMA_09G175800	3
GLYMA_13G150300	0
GLYMA_11G190300	0
GLYMA_08G291800	0
GLYMA_09G177900	0
GLYMA_05G230700	0
GLYMA_08G106500	0
GLYMA_02G219000	1
GLYMA_14G202200	6
GLYMA_14G011600	0
GLYMA_04G155800	4
GLYMA_09G174600	1
GLYMA_20G158600	0
GLYMA_09G178400	0
GLYMA_04G252500	1
GLYMA_04G235800	0
GLYMA_07G147400	0
GLYMA_11G013700	0
GLYMA_13G131600	0
GLYMA_07G245500	0
GLYMA_07G267500	1
GLYMA_19G025700	0
GLYMA_19G177700	0
GLYMA_12G146900	0
GLYMA_02G113400	0
GLYMA_04G018000	1
GLYMA_05G032300	0
GLYMA_05G113300	0
GLYMA_06G018300	0
GLYMA_06G061000	0
GLYMA_06G227700	3
GLYMA_06G246500	0
GLYMA_07G068800	0
GLYMA_08G254000	0
GLYMA_09G058600	0
GLYMA_09G200200	1
GLYMA_12G184200	0
GLYMA_13G119700	0
GLYMA_13G317400	0
GLYMA_14G003000	0
GLYMA_14G044600	0
GLYMA_14G141800	0
GLYMA_16G206600	0
GLYMA_17G094300	0
GLYMA_17G102300	0
GLYMA_17G160600	0
GLYMA_20G109800	0
GLYMA_05G115200	0
GLYMA_20G097200	8
GLYMA_07G057000	0
GLYMA_08G090700	0
GLYMA_08G140300	1
GLYMA_09G006400	0
GLYMA_09G279300	0
GLYMA_15G162500	0
GLYMA_16G066300	0
GLYMA_16G177300	0
GLYMA_18G197200	0
GLYMA_13G181600	0
GLYMA_03G108100	0
GLYMA_01G228000	1
GLYMA_01G011300	0
GLYMA_07G119200	0
GLYMA_04G186800	0
GLYMA_15G118100	0
GLYMA_17G220100	0
GLYMA_17G219900	0
GLYMA_05G151600	3
GLYMA_01G054900	0
GLYMA_01G228800	0
