An1 count 18;19;20;21;22;23;24;25;26;27;28 326;522;868;6895;1342;212;350;112;96;104;88 10915
An2 count 18;19;20;21;22;23;24;25;26;27;28 204;361;570;4585;905;158;227;86;82;97;78 7353
Col2w1 count 18;19;20;21;22;23;24;25;26;27;28 334;648;717;10342;1872;243;410;206;203;200;176 15351
Col2w2 count 18;19;20;21;22;23;24;25;26;27;28 526;1075;1318;21115;3779;389;761;223;201;220;252 29859
Ct1 count 18;19;20;21;22;23;24;25;26;27;28 725;1426;3225;29848;3808;301;632;136;132;130;111 40474
Ct2 count 18;19;20;21;22;23;24;25;26;27;28 1184;2549;5712;48993;6101;536;923;212;183;174;238 66805
Cvi1 count 18;19;20;21;22;23;24;25;26;27;28 173;323;567;4516;655;202;358;57;63;61;62 7037
Cvi2 count 18;19;20;21;22;23;24;25;26;27;28 269;368;598;5076;655;254;394;107;94;80;92 7987
Eri1 count 18;19;20;21;22;23;24;25;26;27;28 229;373;740;7553;1049;196;436;77;70;60;66 10849
Eri2 count 18;19;20;21;22;23;24;25;26;27;28 112;296;491;5267;735;160;320;60;45;42;58 7586
Kyo1 count 18;19;20;21;22;23;24;25;26;27;28 289;562;792;6536;951;205;373;121;128;106;99 10162
Kyo2 count 18;19;20;21;22;23;24;25;26;27;28 216;317;530;4006;640;132;229;102;65;67;58 6362
Ler1 count 18;19;20;21;22;23;24;25;26;27;28 241;580;1297;13052;1814;234;563;82;43;55;60 18021
Ler2 count 18;19;20;21;22;23;24;25;26;27;28 260;605;1245;11980;1483;223;469;110;47;49;63 16534
Sha1 count 18;19;20;21;22;23;24;25;26;27;28 103;127;102;772;157;100;171;74;73;82;60 1821
Sha2 count 18;19;20;21;22;23;24;25;26;27;28 82;111;171;958;186;91;145;64;75;61;69 2013
