class	GeneID
hotspot-siRNA-PPR	AT1G63080.1
hotspot-siRNA-PPR	AT1G63130.1
hotspot-siRNA-PPR	AT1G63070.1
hotspot-siRNA-PPR	AT1G62914.1
hotspot-siRNA-PPR	AT1G62910.1
hotspot-siRNA-PPR	AT1G62930.1
hotspot-siRNA-PPR	AT1G63150.1
hotspot-siRNA-PPR	AT1G62670.1
hotspot-siRNA-PPR	AT1G63330.1
hotspot-siRNA-PPR	AT1G63400.1
hotspot-siRNA-PPR	AT1G62590.1
hotspot-siRNA-PPR	AT1G63630.1
hotspot-siRNA-PPR	AT1G63230.1
hotspot-siRNA-PPR	AT1G63320.1
siRNA-PPR	AT1G63080.1
siRNA-PPR	AT1G63130.1
siRNA-PPR	AT1G63070.1
siRNA-PPR	AT1G62914.1
siRNA-PPR	AT1G62910.1
siRNA-PPR	AT1G62930.1
siRNA-PPR	AT1G63150.1
siRNA-PPR	AT1G62670.1
siRNA-PPR	AT1G63330.1
siRNA-PPR	AT1G63400.1
siRNA-PPR	AT1G62590.1
siRNA-PPR	AT1G63630.1
siRNA-PPR	AT1G63230.1
siRNA-PPR	AT1G12775.1
siRNA-PPR	AT5G16640.1
siRNA-PPR	AT1G63320.1
siRNA-PPR	AT1G12620.1
siRNA-PPR	AT1G12300.1
non-siRNA-PPR	AT1G06580.1
non-siRNA-PPR	AT1G64583.1
non-siRNA-PPR	AT1G62680.1
non-siRNA-PPR	AT1G12700.1
non-siRNA-PPR	AT1G64100.2
non-siRNA-PPR	AT2G32230.1
non-siRNA-PPR	AT2G31400.1
non-siRNA-PPR	AT2G41720.1
non-siRNA-PPR	AT5G41170.1
non-siRNA-PPR	AT4G34830.1
non-siRNA-PPR	AT1G62720.1
non-siRNA-PPR	AT1G31920.1
non-siRNA-PPR	AT5G48910.1
non-siRNA-PPR	AT5G10690.1
non-siRNA-PPR	AT5G04810.1
non-siRNA-PPR	AT1G19720.1
non-siRNA-PPR	AT5G13770.1
non-siRNA-PPR	AT4G16390.1
non-siRNA-PPR	AT3G04260.1
non-siRNA-PPR	AT5G50280.1
non-siRNA-PPR	AT3G22470.1
non-siRNA-PPR	AT4G31850.1
non-siRNA-PPR	AT5G46580.1
non-siRNA-PPR	AT1G02150.1
non-siRNA-PPR	AT3G04760.1
non-siRNA-PPR	AT5G27300.1
non-siRNA-PPR	AT1G26460.1
non-siRNA-PPR	AT5G25630.2
non-siRNA-PPR	AT1G74850.1
non-siRNA-PPR	AT3G59040.2
non-siRNA-PPR	AT1G30610.1
non-siRNA-PPR	AT3G06430.1
non-siRNA-PPR	AT3G60960.1
non-siRNA-PPR	AT4G30825.1
non-siRNA-PPR	AT5G13270.1
non-siRNA-PPR	AT5G42310.1
non-siRNA-PPR	AT1G71210.1
non-siRNA-PPR	AT3G22150.1
non-siRNA-PPR	AT3G29290.1
non-siRNA-PPR	AT1G07590.1
non-siRNA-PPR	AT3G49240.1
non-siRNA-PPR	AT2G18940.1
non-siRNA-PPR	AT2G15690.1
non-siRNA-PPR	AT2G01860.1
non-siRNA-PPR	AT2G35130.2
non-siRNA-PPR	AT2G15820.1
non-siRNA-PPR	AT5G27270.1
non-siRNA-PPR	AT3G18110.1
non-siRNA-PPR	AT2G17033.2
non-siRNA-PPR	AT3G53700.1
non-siRNA-PPR	AT5G01110.1
non-siRNA-PPR	AT1G60770.1
non-siRNA-PPR	AT3G16710.1
non-siRNA-PPR	AT2G02750.1
non-siRNA-PPR	AT1G59720.1
non-siRNA-PPR	AT3G09650.1
non-siRNA-PPR	AT1G68980.1
non-siRNA-PPR	AT5G66520.1
non-siRNA-PPR	AT3G63370.1
non-siRNA-PPR	AT1G15510.1
non-siRNA-PPR	AT1G50270.1
non-siRNA-PPR	AT5G48730.1
non-siRNA-PPR	AT1G10910.1
non-siRNA-PPR	AT1G01970.1
non-siRNA-PPR	AT4G14190.1
non-siRNA-PPR	AT3G13150.1
non-siRNA-PPR	AT2G41080.1
non-siRNA-PPR	AT3G23330.1
non-siRNA-PPR	AT1G15480.1
non-siRNA-PPR	AT1G08610.1
non-siRNA-PPR	AT4G39620.1
non-siRNA-PPR	AT5G21222.1
non-siRNA-PPR	AT1G55890.1
non-siRNA-PPR	AT1G64580.1
non-siRNA-PPR	AT1G80270.1
non-siRNA-PPR	AT1G16480.1
non-siRNA-PPR	AT5G02830.1
non-siRNA-PPR	AT1G73710.1
non-siRNA-PPR	AT3G14330.1
non-siRNA-PPR	AT5G36300.1
non-siRNA-PPR	AT1G79540.1
non-siRNA-PPR	AT4G21190.1
non-siRNA-PPR	AT4G18975.3
non-siRNA-PPR	AT1G61870.1
non-siRNA-PPR	AT1G28000.1
non-siRNA-PPR	AT4G01030.1
non-siRNA-PPR	AT1G80550.1
