ID	Class
AT1G63080	HS-siRNA-PPR
AT1G63130	HS-siRNA-PPR
AT1G63070	HS-siRNA-PPR
AT1G62914	HS-siRNA-PPR
AT1G62910	HS-siRNA-PPR
AT1G62930	HS-siRNA-PPR
AT1G63150	HS-siRNA-PPR
AT1G62670	HS-siRNA-PPR
AT1G63330	HS-siRNA-PPR
AT1G63400	HS-siRNA-PPR
AT1G62590	HS-siRNA-PPR
AT1G63630	HS-siRNA-PPR
AT1G63230	HS-siRNA-PPR
AT1G12775	non-HS-siRNA-PPR
AT5G16640	non-HS-siRNA-PPR
AT1G63320	HS-siRNA-PPR
AT1G12620	non-HS-siRNA-PPR
AT1G12300	non-HS-siRNA-PPR
AT1G06580	non-siRNA-PPR
AT1G64583	non-siRNA-PPR
AT1G62680	non-siRNA-PPR
AT1G12700	non-siRNA-PPR
AT1G64100	non-siRNA-PPR
AT2G32230	non-siRNA-PPR
AT2G31400	non-siRNA-PPR
AT2G41720	non-siRNA-PPR
AT5G41170	non-siRNA-PPR
AT4G34830	non-siRNA-PPR
AT1G62720	non-siRNA-PPR
AT1G31920	non-siRNA-PPR
AT5G48910	non-siRNA-PPR
AT5G10690	non-siRNA-PPR
AT5G04810	non-siRNA-PPR
AT1G19720	non-siRNA-PPR
AT5G13770	non-siRNA-PPR
AT4G16390	non-siRNA-PPR
AT3G04260	non-siRNA-PPR
AT5G50280	non-siRNA-PPR
AT3G22470	non-siRNA-PPR
AT4G31850	non-siRNA-PPR
AT5G46580	non-siRNA-PPR
AT1G02150	non-siRNA-PPR
AT3G04760	non-siRNA-PPR
AT5G27300	non-siRNA-PPR
AT1G26460	non-siRNA-PPR
AT5G25630	non-siRNA-PPR
AT1G74850	non-siRNA-PPR
AT3G59040	non-siRNA-PPR
AT1G30610	non-siRNA-PPR
AT3G06430	non-siRNA-PPR
AT3G60960	non-siRNA-PPR
AT4G30825	non-siRNA-PPR
AT5G13270	non-siRNA-PPR
AT5G42310	non-siRNA-PPR
AT1G71210	non-siRNA-PPR
AT3G22150	non-siRNA-PPR
AT3G29290	non-siRNA-PPR
AT1G07590	non-siRNA-PPR
AT3G49240	non-siRNA-PPR
AT2G18940	non-siRNA-PPR
AT2G15690	non-siRNA-PPR
AT2G01860	non-siRNA-PPR
AT2G35130	non-siRNA-PPR
AT2G15820	non-siRNA-PPR
AT5G27270	non-siRNA-PPR
AT3G18110	non-siRNA-PPR
AT2G17033	non-siRNA-PPR
AT3G53700	non-siRNA-PPR
AT5G01110	non-siRNA-PPR
AT1G60770	non-siRNA-PPR
AT3G16710	non-siRNA-PPR
AT2G02750	non-siRNA-PPR
AT1G59720	non-siRNA-PPR
AT3G09650	non-siRNA-PPR
AT1G68980	non-siRNA-PPR
AT5G66520	non-siRNA-PPR
AT3G63370	non-siRNA-PPR
AT1G15510	non-siRNA-PPR
AT1G50270	non-siRNA-PPR
AT5G48730	non-siRNA-PPR
AT1G10910	non-siRNA-PPR
AT1G01970	non-siRNA-PPR
AT4G14190	non-siRNA-PPR
AT3G13150	non-siRNA-PPR
AT2G41080	non-siRNA-PPR
AT3G23330	non-siRNA-PPR
AT1G15480	non-siRNA-PPR
AT1G08610	non-siRNA-PPR
AT4G39620	non-siRNA-PPR
AT5G21222	non-siRNA-PPR
AT1G55890	non-siRNA-PPR
AT1G64580	non-siRNA-PPR
AT1G80270	non-siRNA-PPR
AT1G16480	non-siRNA-PPR
AT5G02830	non-siRNA-PPR
AT1G73710	non-siRNA-PPR
AT3G14330	non-siRNA-PPR
AT5G36300	non-siRNA-PPR
AT1G79540	non-siRNA-PPR
AT4G21190	non-siRNA-PPR
AT4G18975	non-siRNA-PPR
AT1G61870	non-siRNA-PPR
AT1G28000	non-siRNA-PPR
AT4G01030	non-siRNA-PPR
AT1G80550	non-siRNA-PPR
AT3G29230	non-siRNA-PPR
AT5G15980	non-siRNA-PPR
AT5G67570	non-siRNA-PPR
AT3G46610	non-siRNA-PPR
AT4G18750	non-siRNA-PPR
AT1G64430	non-siRNA-PPR
AT1G06150	non-siRNA-PPR
AT1G66345	non-siRNA-PPR
AT5G37570	non-siRNA-PPR
AT5G60960	non-siRNA-PPR
AT1G69350	non-siRNA-PPR
AT5G14770	non-siRNA-PPR
AT1G19520	non-siRNA-PPR
AT5G39710	non-siRNA-PPR
AT5G59900	non-siRNA-PPR
AT4G35850	non-siRNA-PPR
AT3G51320	non-siRNA-PPR
AT5G55740	non-siRNA-PPR
AT1G79490	non-siRNA-PPR
AT1G30290	non-siRNA-PPR
AT4G37380	non-siRNA-PPR
AT1G52620	non-siRNA-PPR
AT4G32450	non-siRNA-PPR
AT3G48810	non-siRNA-PPR
AT5G64320	non-siRNA-PPR
AT2G15980	non-siRNA-PPR
AT1G74900	non-siRNA-PPR
AT3G06920	non-siRNA-PPR
AT2G37230	non-siRNA-PPR
AT3G42630	non-siRNA-PPR
AT2G20710	non-siRNA-PPR
AT5G08310	non-siRNA-PPR
AT1G05750	non-siRNA-PPR
AT2G36240	non-siRNA-PPR
AT3G50420	non-siRNA-PPR
AT4G19890	non-siRNA-PPR
AT4G18520	non-siRNA-PPR
AT1G11900	non-siRNA-PPR
AT3G49142	non-siRNA-PPR
AT5G09450	non-siRNA-PPR
AT2G16880	non-siRNA-PPR
AT4G19440	non-siRNA-PPR
AT3G53170	non-siRNA-PPR
AT2G40240	non-siRNA-PPR
AT1G74750	non-siRNA-PPR
AT5G39350	non-siRNA-PPR
AT2G22070	non-siRNA-PPR
AT3G25210	non-siRNA-PPR
AT1G28020	non-siRNA-PPR
AT4G25270	non-siRNA-PPR
AT3G12770	non-siRNA-PPR
AT4G32430	non-siRNA-PPR
AT3G11460	non-siRNA-PPR
AT2G30100	non-siRNA-PPR
AT1G05670	non-siRNA-PPR
AT4G02750	non-siRNA-PPR
AT2G36730	non-siRNA-PPR
AT2G17670	non-siRNA-PPR
AT1G62350	non-siRNA-PPR
AT5G61800	non-siRNA-PPR
AT3G09060	non-siRNA-PPR
AT5G02860	non-siRNA-PPR
AT2G04860	non-siRNA-PPR
AT1G22960	non-siRNA-PPR
AT4G38150	non-siRNA-PPR
AT1G11290	non-siRNA-PPR
AT1G02370	non-siRNA-PPR
AT1G11630	non-siRNA-PPR
AT2G06000	non-siRNA-PPR
AT2G37310	non-siRNA-PPR
AT4G02820	non-siRNA-PPR
AT4G26800	non-siRNA-PPR
AT4G14050	non-siRNA-PPR
AT1G18900	non-siRNA-PPR
AT1G17630	non-siRNA-PPR
AT2G30780	non-siRNA-PPR
AT3G24000	non-siRNA-PPR
AT4G04790	non-siRNA-PPR
AT5G13230	non-siRNA-PPR
AT1G16830	non-siRNA-PPR
AT5G55840	non-siRNA-PPR
AT3G22690	non-siRNA-PPR
AT5G04780	non-siRNA-PPR
AT5G15010	non-siRNA-PPR
AT1G79080	non-siRNA-PPR
AT3G02490	non-siRNA-PPR
AT1G11710	non-siRNA-PPR
AT2G27800	non-siRNA-PPR
AT5G14350	non-siRNA-PPR
AT5G38730	non-siRNA-PPR
AT4G33170	non-siRNA-PPR
AT1G56690	non-siRNA-PPR
AT4G01570	non-siRNA-PPR
AT5G65560	non-siRNA-PPR
AT5G57250	non-siRNA-PPR
AT3G46870	non-siRNA-PPR
AT1G04840	non-siRNA-PPR
AT1G09820	non-siRNA-PPR
AT2G33680	non-siRNA-PPR
AT3G05340	non-siRNA-PPR
AT5G28460	non-siRNA-PPR
AT5G28370	non-siRNA-PPR
AT3G61520	non-siRNA-PPR
