,DYW_gene,E_gene,P_gene,PLS_gene,E+_gene,total_gene,DYW_tpm,E_tpm,P_tpm,PLS_tpm,E+_tpm,total_tpm,DYW_number,E_number,P_number,PLS_number,E+_number,total_number
Actinidia_chinensis-Kiwi,0,CEY00_Acc27965/CEY00_Acc25674,CEY00_Acc33191/CEY00_Acc04311/CEY00_Acc22481/CEY00_Acc17336/CEY00_Acc19247,0,CEY00_Acc24786/CEY00_Acc22686,CEY00_Acc24786/CEY00_Acc27965/CEY00_Acc33191/CEY00_Acc04311/CEY00_Acc22481/CEY00_Acc25674/CEY00_Acc17336/CEY00_Acc22686/CEY00_Acc19247,0,7.529,10.7004,0,11.2025,29.4319,0,2,5,0,2,9
Amborella_trichopoda,0,0,AMTR_s00109p00035170/AMTR_s00086p00094500/AMTR_s00040p00235870/AMTR_s00002p00190720,AMTR_s00068p00189110/AMTR_s00029p00196710,AMTR_s00155p00015900/AMTR_s00041p00129840/AMTR_s00022p00127120/AMTR_s00008p00232800,AMTR_s00155p00015900/AMTR_s00109p00035170/AMTR_s00086p00094500/AMTR_s00068p00189110/AMTR_s00041p00129840/AMTR_s00040p00235870/AMTR_s00029p00196710/AMTR_s00022p00127120/AMTR_s00008p00232800/AMTR_s00002p00190720,0,0,13.88925,55.3145,14.0495,83.25325,0,0,4,2,4,10
Aquilegia_coerulea-Colorado_blue_columbine,Aqcoe4G193900.1,Aqcoe7G298300.1/Aqcoe3G107300.1/Aqcoe7G309500.1,Aqcoe2G159900.1/Aqcoe5G369000.1/Aqcoe5G364400.2/Aqcoe3G111300.1/Aqcoe3G181100.1/Aqcoe5G452800.2/Aqcoe5G054800.1/Aqcoe5G371800.1/Aqcoe0300s0002.1/Aqcoe5G361500.1/Aqcoe5G367200.2/Aqcoe5G370400.1/Aqcoe5G355800.1/Aqcoe2G123200.1/Aqcoe7G402600.1,0,0,Aqcoe7G298300.1/Aqcoe2G159900.1/Aqcoe5G369000.1/Aqcoe5G364400.2/Aqcoe3G111300.1/Aqcoe3G107300.1/Aqcoe7G309500.1/Aqcoe3G181100.1/Aqcoe5G452800.2/Aqcoe5G054800.1/Aqcoe5G371800.1/Aqcoe0300s0002.1/Aqcoe5G361500.1/Aqcoe5G367200.2/Aqcoe5G370400.1/Aqcoe5G355800.1/Aqcoe4G193900.1/Aqcoe2G123200.1/Aqcoe7G402600.1,6.193,12.39016667,46.78503333,0,0,65.3682,1,3,15,0,0,19
Arabidopsis_lyrata-Lyre_leaved_rock_cress,0,AL5G11950,AL7G48260/AL6G36470/AL6G27650/AL3G29642/AL1G13070,0,0,AL7G48260/AL5G11950/AL6G36470/AL6G27650/AL3G29642/AL1G13070,0,82.099,50.5124,0,0,132.6114,0,1,5,0,0,6
Arabidopsis_thaliana-Mouse_ear_cress,0,AT2G02750,AT1G63230/AT5G16640/AT1G64583/AT1G63630/AT1G63400/AT1G63330/AT1G63320/AT1G63150/AT1G63130/AT1G63080/AT1G63070/AT1G62930/AT1G62914/AT1G62910/AT1G62670/AT1G62590/AT1G12775/AT1G12620/AT1G12300,0,0,AT1G63230/AT5G16640/AT2G02750/AT1G64583/AT1G63630/AT1G63400/AT1G63330/AT1G63320/AT1G63150/AT1G63130/AT1G63080/AT1G63070/AT1G62930/AT1G62914/AT1G62910/AT1G62670/AT1G62590/AT1G12775/AT1G12620/AT1G12300,0,8.9055,140.1976316,0,0,149.1031316,0,1,19,0,0,20
Beta_vulgaris-Sugar_beet,BVRB_5g116060,0,BVRB_015860/BVRB_007510/BVRB_4g080220/BVRB_4g079810/BVRB_4g079800/BVRB_4g077200/BVRB_6g128590/BVRB_4g081040/BVRB_4g080250/BVRB_4g079040/BVRB_4g078160/BVRB_4g077800/BVRB_4g077780/BVRB_4g077760/BVRB_4g077230/BVRB_4g077720/BVRB_4g077260/BVRB_4g077240/BVRB_4g077210/BVRB_4g077180/BVRB_4g077160/BVRB_4g076860/BVRB_4g076340/BVRB_4g076330/BVRB_4g076310/BVRB_4g075590/BVRB_1g008940,0,0,BVRB_015860/BVRB_007510/BVRB_4g080220/BVRB_4g079810/BVRB_4g079800/BVRB_4g077200/BVRB_6g128590/BVRB_5g116060/BVRB_4g081040/BVRB_4g080250/BVRB_4g079040/BVRB_4g078160/BVRB_4g077800/BVRB_4g077780/BVRB_4g077760/BVRB_4g077230/BVRB_4g077720/BVRB_4g077260/BVRB_4g077240/BVRB_4g077210/BVRB_4g077180/BVRB_4g077160/BVRB_4g076860/BVRB_4g076340/BVRB_4g076330/BVRB_4g076310/BVRB_4g075590/BVRB_1g008940,64.322,0,125.8231111,0,0,190.1451111,1,0,27,0,0,28
Brachypodium_distachyon-Purple_false_brome,0,0,Bradi1g25360/Bradi1g17997/Bradi1g14976,0,0,Bradi1g25360/Bradi1g17997/Bradi1g14976,0,0,614.5753333,0,0,614.5753333,0,0,3,0,0,3
Brassica_napus-Rape,GSBRNA2T00155822001/GSBRNA2T00121981001,0,0,0,0,GSBRNA2T00155822001/GSBRNA2T00121981001,31.05933333,0,0,0,0,31.05933333,2,0,0,0,0,2
Brassica_oleracea-Wild_cabbage,0,0,Bo00579s150/Bo3g064140,0,0,Bo00579s150/Bo3g064140,0,0,15.21375,0,0,15.21375,0,0,2,0,0,2
Brassica_rapa-Field_mustard,0,0,Bra031836,0,0,Bra031836,0,0,5.183,0,0,5.183,0,0,1,0,0,1
Cajanus_cajan-Pigeon_pea,C.cajan_24115/C.cajan_07790,C.cajan_14682,C.cajan_11314/C.cajan_44071/C.cajan_41617/C.cajan_27499/C.cajan_23978/C.cajan_04809,0,C.cajan_40227/C.cajan_34898,C.cajan_11314/C.cajan_44071/C.cajan_41617/C.cajan_40227/C.cajan_34898/C.cajan_27499/C.cajan_24115/C.cajan_23978/C.cajan_14682/C.cajan_07790/C.cajan_04809,14.382,8.62,11.59283333,0,15.8985,50.49333333,2,1,6,0,2,11
Capsella_rubella-Pink_shepherd_purse,0,0,Carub.0002s0148.2/Carub.0002s0190.1/Carub.0002s0110.1/Carub.0002s0191.1/Carub.0007s3622.1/Carub.0001s1231.3/Carub.0001s1249.1/Carub.0001s1241.1,0,0,Carub.0002s0148.2/Carub.0002s0190.1/Carub.0002s0110.1/Carub.0002s0191.1/Carub.0007s3622.1/Carub.0001s1231.3/Carub.0001s1249.1/Carub.0001s1241.1,0,0,12.233625,0,0,12.233625,0,0,8,0,0,8
Capsicum_annuum-Bell_pepper,0,T459_31540/T459_31577/T459_35045,T459_07998,T459_35096/T459_34741,0,T459_31540/T459_31577/T459_07998/T459_35096/T459_35045/T459_34741,0,11.73066667,6.729,13.768,0,32.22766667,0,3,1,2,0,6
