ID	An-1	Col-0	Ct-1	Cvi-1	Eri-1	Kyo-1	Ler-0	Sha	Average
AT1G63080	1291.273	328.318	2554.0165	163.4945	717.0025	1248.6575	1349.713	168.8215	977.6620625
AT1G63070	1291.273	136.2625	1499.016	561.4115	717.0025	1248.6575	1349.713	116.7325	865.0085625
AT1G63130	741.193	322.1565	1656.4145	230.473	344.6085	551.502	661.002	319.271	603.3275625
AT1G62914	461.309	293.1655	1436.916	158.027	483.073	460.3705	420.3635	171.6535	485.60975
AT1G62910	455.9825	293.9435	778.524	74.8575	479.905	394.0815	381.781	127.1645	373.2799375
AT1G63400	117.8745	295.0945	1245.8695	74.8575	432.015	105.783	420.9815	69.2325	345.2135
AT1G62930	332.366	253.2815	788.1865	230.473	223.213	191.7365	265.935	126.2575	301.431125
AT1G63150	396.945	239.4515	314.998	74.8575	479.905	394.0815	381.781	127.1645	301.148
AT1G62670	278.4995	113.94	897.136	85.5835	202.4195	218.7215	278.532	116.7325	273.9455625
AT1G63330	294.1615	119.1235	636.1955	74.8575	70.0655	244.6225	64.852	69.2325	196.6388125
AT1G62590	294.1615	122.6415	631.9015	74.8575	70.0655	244.6225	64.852	69.2325	196.5418125
AT1G63630	4.699	47.725	183.8145	99.865	257.618	14.7255	34.569	10.3875	81.6754375
AT1G63320	68.5225	13.2985	95.5565	163.4945	57.1125	25.7965	51.3055	18.945	61.7539375
AT1G63230	14.661	7.826	44.0985	99.865	52.2925	14.7255	34.569	10.3875	34.803125
AT1G12775	64.6675	18.606	22.1955	15.006	10.824	30.965	28.092	30.422	27.59725
AT5G16640	23.213	8.0695	50.376	10.8095	25.379	22.0295	15.3975	16.0325	21.4133125
AT1G12620	21.4385	5.371	14.655	35.722	2.988	11.105	10.637	21.746	15.4578125
AT1G12300	21.5215	7.161	31.1005	15.006	4.049	10.0415	8.762	9.911	13.4440625
AT2G02750	0	9.7975	33.415	0.342	0.7835	0	0.502	0	5.605
AT1G06580	2.27	2.709	11.6485	1.4365	8.3335	6.402	7.1175	3.3405	5.4071875
AT1G64583	1.97	5.137	5.057	1.029	3.1345	5.6395	2.102	0.4125	3.0601875
AT1G62680	3.6865	0.767	5.126	0.26	2.19	4.153	4.4515	0.8245	2.6823125
AT1G12700	2.1215	0.787	4.8165	1.7	5.513	1.287	0.3255	2.7875	2.41725
AT2G32230	0	0.2135	0.7235	0	5.1	0.933	3.579	3.939	1.811
AT2G31400	1.6705	1.5805	0.767	0.4775	1.6625	3.255	1.1105	3.645	1.7710625
AT2G41720	2.7605	0.8815	0.34	2.0355	0.879	1.413	3.295	0.803	1.5509375
AT1G28020	0	0	0.5115	0	2.2555	0	4.0955	4.8115	1.45925
AT5G41170	1.8295	0.1355	3.873	0.5935	1.9515	0.5995	1.392	0.7915	1.39575
AT4G34830	0.6565	0.989	1.4435	0	0.554	0.7645	0.633	3.645	1.0856875
AT1G62720	0.848	1.008	1.0195	0.342	1.5865	1.698	1.6005	0.3905	1.061625
AT5G48910	2.219	1.318	1.5715	0.0955	0	0.519	0.478	1.171	0.9215
AT1G19720	1.2305	1.589	0.552	0.4375	1.433	0.7645	0.3105	0.8245	0.8926875
AT1G31920	1.3135	0.1745	2.503	0.305	1.9875	0.519	0.3225	0	0.890625
AT5G10690	0	0.7945	0	1.3705	0.6885	1.452	1.29	0.8245	0.8025
AT5G04810	1.039	0.882	1.2755	0.419	1.1085	0.428	0.3225	0.803	0.7846875
AT5G13770	0.74	1.269	1.1035	0.7635	0.459	0.5965	0.478	0.4125	0.72775
AT4G16390	0.274	0.7945	0.636	0.2095	2.065	0.856	0.1675	0.803	0.7256875
AT2G35130	0	0.31	0	2.7465	0.2295	0	2.184	0	0.68375
AT3G04260	0.1915	0.581	0.2555	1.047	0.974	0.519	0.155	1.6055	0.6660625
AT5G50280	0.411	0.349	0.212	0.533	2.273	0.2595	0	1.215	0.6565625
AT3G22470	2.238	0.068	0.8915	0.114	0.7835	0.428	0.699	0	0.65275
AT4G31850	0.9565	0.271	0.2555	0.2095	0.6885	1.543	0	1.171	0.636875
AT1G02150	0.1915	0.4845	0.4675	0.896	0.2295	1.557	0.4655	0.803	0.6368125
AT5G46580	0.1915	0.746	1.2755	0.2865	1.8355	0.5965	0	0	0.6164375
AT5G27300	0.9305	0.843	0.1025	0.7505	0.1075	1.5025	0.5635	0	0.6
AT3G04760	0.3825	0.1745	0.212	0.0955	0.2295	0.856	0.478	2.3645	0.5990625
