ID	Leaf
LOC100790966	0
LOC100790651	0
LOC100776934	0
LOC100791770	0.388
LOC100813082	0.194
LOC100783217	0
LOC100794695	0.776
LOC100790613	0
LOC100817044	0
LOC100813319	0
LOC100817319	0
LOC102662618	0
LOC100817006	0.388
LOC100806492	0.904
LOC100798659	0
LOC100787792	0.202
LOC100803889	0.582
LOC106794624	27.175
LOC100803535	0
LOC100790038	0
LOC100780564	0
LOC100795962	0
LOC100810625	0
LOC100814666	0
LOC100795965	0.194
LOC100787179	0
LOC100780299	0
LOC100799614	0
LOC100818399	0
LOC100792776	0
LOC100795658	0
LOC100795030	0
LOC102664467	0.388
LOC100800532	0
LOC100795074	0
LOC100807416	1.606
LOC100819931	0.128
LOC100804535	0
LOC100795078	0.776
LOC100792116	0
LOC100792118	0
LOC100785525	0
LOC100788135	0
LOC100819668	0.776
LOC102669772	0
LOC100797731	0.776
LOC100812437	0
LOC100812166	0
LOC100775787	0
LOC100819008	0
LOC100793425	0.194
LOC100820602	255.515
LOC100778358	0.776
LOC100808101	0.388
LOC100775477	0
LOC106796311	0.272
LOC100809263	0
LOC100783911	0
LOC100808106	0
LOC100786292	0
LOC100805229	0.582
LOC100779971	0.388
LOC100786212	0
LOC100779660	59.913
LOC100782216	0
LOC100782218	0
LOC102666460	0.008
LOC100798734	0.776
LOC100817126	0
LOC100794739	125.054
LOC100790739	0.054
LOC100788992	0
LOC100780994	0.776
LOC100794116	0
LOC100818701	0.272
LOC100784647	0
LOC100780689	0
LOC100777780	0
LOC100788377	0
LOC102668851	51.267
LOC100788338	0.388
LOC102660854	0
LOC100818123	0
LOC100814164	0
LOC100784025	0
LOC102668855	0
LOC102664582	0
LOC100792544	0
LOC100777161	0
LOC100804693	2.327
LOC121172643	0
LOC100792234	0
LOC100799157	0
LOC100799117	0
LOC100804385	0.776
LOC100788251	0
LOC100812822	0
LOC100781687	0
LOC100804309	0
LOC100789374	0
LOC100819789	0
LOC100789335	0.388
LOC100778705	0.388
LOC100789069	0
LOC100819169	217.285
LOC100781029	0.194
LOC100812207	0.388
LOC100796427	0.194
LOC100786950	0
LOC102669506	0
LOC100796114	0
LOC100797548	0.392
LOC100786913	0
LOC102669236	0.388
LOC100801616	0.388
LOC100805658	0
LOC100801345	0
LOC100808229	0
LOC100801078	0
LOC100790541	0
LOC100798543	0
LOC100802924	0
LOC100802611	0.023
LOC100776556	0
LOC100798589	0
LOC100794549	0.031
LOC100806657	0
LOC102659603	0
LOC100818823	0.194
LOC100818511	0.136
LOC100795853	0
LOC100784104	0
LOC100787028	0
LOC100780147	0.019
LOC100791270	0.256
LOC102664664	0
LOC100777512	0
LOC102667548	0
LOC100799232	0
LOC100800731	0
LOC100795589	0.582
LOC100306721	0
LOC102660040	0
LOC100792318	0
LOC100804151	0.388
LOC102664046	0.776
LOC100792086	0
LOC100807076	0
LOC100811865	0.035
LOC100781412	0.582
LOC100789181	0
LOC100778820	0.776
LOC100789457	0.741
LOC100789101	0
LOC100781103	0
LOC100781186	0
LOC100789146	19.782
LOC100815287	0
LOC100808924	0
LOC100778551	0.776
LOC100781147	0
LOC100789149	0
LOC100815249	0.388
LOC100812093	117.35
LOC100775946	0
LOC100808380	0.26
LOC100805774	0
LOC100808343	0
LOC102661399	0
LOC100786721	0
LOC100797006	0
LOC100797008	0.431
LOC100809199	0
LOC100816513	0
LOC100779821	0
LOC100779822	0
LOC100779515	0.388
LOC100779200	0
LOC100790667	0
LOC102663746	0
LOC100794080	0.194
LOC102662001	0
LOC100806778	0
LOC100802423	0.004
LOC100806111	0
LOC100784842	0
LOC100788530	0
LOC100818679	1.749
LOC100799623	0.194
LOC100807730	0
LOC100800850	0.194
LOC100777321	0
LOC100804896	0.128
LOC100804582	0
LOC100807191	0
LOC100800858	0
LOC100804272	0
LOC100804589	0
LOC100804275	0
LOC100800235	0
LOC100781261	0
LOC100788188	0
LOC102665781	0
LOC112997677	30.976
LOC100778632	0
LOC100793742	0
LOC113000421	0
LOC100796315	0.776
LOC102669476	0.388
LOC100797162	0
LOC113001859	0
LOC100808427	0.853
LOC100801230	0
LOC100783921	0.194
LOC100805547	0
LOC100805233	0.388
LOC100783968	65.126
LOC100782220	0
LOC100820389	3.239
LOC100817794	0
LOC100813712	138.765
LOC100809239	0
LOC100783613	0
LOC100816677	0
LOC100783386	0.128
LOC102663822	0.194
LOC100779635	0
LOC100783034	0
LOC100817407	0.388
LOC100802813	0
LOC100791867	0
LOC100798435	0
LOC100779093	0.776
LOC100806858	0
LOC100779368	0
LOC100787841	0
LOC100787847	0
LOC102659807	0
LOC100787807	0
LOC102663208	115.411
LOC100776139	0
LOC100814796	0.388
LOC100788616	0.194
LOC100810402	0
LOC102660822	0
LOC100818133	0
LOC102660550	0
LOC100795787	0.403
LOC102667121	0
LOC100807542	0
LOC100792512	1.008
LOC100792280	0
LOC100804661	0
LOC100791479	0
LOC100781960	0.396
LOC100807506	0
LOC100804311	73.457
LOC100807278	63.349
LOC100815792	0
LOC100777139	0.516
LOC100306302	0.353
LOC112997711	0
LOC100785384	1.745
LOC100788229	0
LOC100797551	0
LOC102665512	0.128
LOC102669594	0
LOC100801933	0
LOC100811179	0
LOC106796792	0
LOC100778405	0
LOC100775879	0.388
LOC100793516	0
LOC100808587	0
LOC100809665	0
LOC100809627	0.194
LOC100786610	0
LOC100805354	0
LOC100805000	0
LOC100805041	0
LOC100801084	0
LOC100786343	0.194
LOC100782031	0
LOC100783779	0.388
LOC100809049	0
LOC100782387	0
LOC100776870	0
LOC100816489	0
LOC100798825	0
LOC100806973	0.128
LOC100786038	0
LOC100806937	0
LOC100776252	0
LOC100787964	0.268
LOC100802395	0
LOC100790288	0
LOC100798248	0
LOC100802082	0.004
LOC100787612	0.194
LOC100806042	0
LOC100806316	0
LOC102663055	0.128
LOC100810873	0
LOC106794528	0
LOC100802087	0
LOC102670454	0
LOC100788461	0
LOC100787070	0
LOC100806006	0
LOC102667863	0
LOC100784425	0
LOC102668900	163.008
LOC100818251	0.078
LOC100780195	0.194
LOC102664984	0
LOC100810527	0
LOC100807932	1.164
LOC100792633	0
LOC102664320	0
LOC100795559	0.97
LOC102668678	0
LOC100799205	0
LOC100812993	0.128
LOC100807089	0
LOC100306428	0
LOC100811878	1.164
LOC102665980	0
LOC100812370	0
LOC100785113	0.388
LOC100778561	0
LOC100796513	0.194
LOC102661989	0
LOC100775643	0
LOC100808394	0
LOC106796564	72.406
LOC100796249	1.687
LOC100797093	0
LOC100793014	0
LOC100782735	0
LOC100783580	0
LOC100808007	0.776
LOC100813915	0.388
LOC100813684	0
LOC100782157	0
LOC100806780	0
LOC100817022	0
LOC100813379	0
LOC100790321	0
LOC100794364	0.388
LOC100779215	0
LOC100790367	0
LOC100790096	0.388
LOC100798097	0
LOC100794017	0
LOC113002167	0
LOC100780582	0
LOC100818600	0
LOC100788816	0.613
LOC100818684	0
LOC100814643	0
LOC100784587	0
LOC100795944	0.516
LOC100818060	0.388
LOC100818021	0.388
LOC100807700	0
LOC100791321	0
LOC100792713	0
LOC100804821	0.582
LOC100777919	0.194
LOC106795994	0.194
LOC100799638	0
LOC100799053	0.733
LOC100819993	0.194
LOC100819996	0.194
LOC100811600	0
LOC100789899	0
LOC100789543	0.256
LOC100781818	15.279
LOC100785546	0
LOC100778991	0
LOC100811023	0.388
LOC100811379	0
LOC100796677	0
LOC100808784	0
LOC100775763	0.388
LOC100812458	0.128
LOC100808787	0
LOC100819027	0.388
LOC100793484	0.388
LOC100778062	1.707
LOC100778378	0
LOC100796014	0
LOC100786895	0
LOC100816601	0
LOC100805207	0
LOC100809249	0
LOC100820049	0.26
LOC100779600	0
LOC100786237	51.212
LOC100813729	0
LOC100783041	0.388
LOC102662754	0.225
LOC100813184	0.388
LOC102662400	0.097
LOC100779372	0.388
LOC100790756	0
LOC100813146	0
LOC102666130	0
LOC100794718	0.194
LOC100802551	0
LOC100806592	0
LOC100794132	0
LOC100803987	0
LOC100787851	0
LOC100798448	0
LOC100803907	0
LOC100790449	0
LOC100806557	0
LOC100776103	0
LOC100814450	0.776
LOC100818767	0
LOC100788628	0.388
