ID	Family	Order	Clade
Actinidia_chinensis-Kiwi	Actinidiaceae	Ericales	Eudicot
Amborella_trichopoda	Amborellaceae	Amborellales	EarlyPlant
Aquilegia_coerulea-Colorado_blue_columbine	Ranunculaceae	Ranunculales	Eudicot
Arabidopsis_lyrata-Lyre_leaved_rock_cress	Brassicaceae	Brassicales	Eudicot
Arabidopsis_thaliana-Mouse_ear_cress	Brassicaceae	Brassicales	Eudicot
Beta_vulgaris-Sugar_beet	Amaranthaceae	Caryophyllales	Eudicot
Brachypodium_distachyon-Purple_false_brome	Poaceae	Poales	Monocot
Brassica_napus-Rape	Brassicaceae	Brassicales	Eudicot
Brassica_oleracea-Wild_cabbage	Brassicaceae	Brassicales	Eudicot
Brassica_rapa-Field_mustard	Brassicaceae	Brassicales	Eudicot
Cajanus_cajan-Pigeon_pea	Fabaceae	Fabales	Eudicot
Capsicum_annuum-Bell_pepper	Solanaceae	Solanales	Eudicot
Capsella_rubella-Pink_shepherd_purse	Brassicaceae	Brassicales	Eudicot
Carica_papaya-Papaya	Caricaceae	Brassicales	Eudicot
Cicer_arietinum-Chickpea	Fabaceae	Fabales	Eudicot
Citrullus_lanatus-Watermelon	Cucurbitaceae	Cucurbitales	Eudicot
Citrus_sinensis-Sweet_orange	Rutaceae	Sapindales	Eudicot
Coffea_canephora-Robusta_coffee	Rubiaceae	Gentianales	Eudicot
Cucumis_melo-Muskmelon	Cucurbitaceae	Cucurbitales	Eudicot
Cucumis_sativus-Cucumber	Cucurbitaceae	Cucurbitales	Eudicot
Elaeis_guineensis-Oil_palm	Arecaceae	Arecales	Monocot
Eucalyptus_grandis-Flooded_gum	Myrtaceae	Myrtales	Eudicot
Thellungiella_salsuginea-Saltwater_cress	Brassicaceae	Brassicales	Eudicot
Fragaria_vesca-Woodland_strawberry	Rosaceae	Rosales	Eudicot
Gossypium_arboreum-Tree_cotton	Malvaceae	Malvales	Eudicot
Gossypium_raimondii-New_world_cotton	Malvaceae	Malvales	Eudicot
Linum_usitatissimum-Flax	Linaceae	Malpighiales	Eudicot
Lotus_japonicus	Fabaceae	Fabales	Eudicot
Zea_mays-Maize	Poaceae	Poales	Monocot
Malus_domestica-Apple	Rosaceae	Rosales	Eudicot
Manihot_esculenta-Cassava	Euphorbiaceae	Malpighiales	Eudicot
Medicago_truncatula-Barrel_medic	Fabaceae	Fabales	Eudicot
Morus_notabilis-Mulberry	Moraceae	Rosales	Eudicot
Musa_acuminata-Banana	Musaceae	Zingiberales	Monocot
Nelumbo_nucifera-Sacred_lotus	Nelumbonaceae	Proteales	Eudicot
Oryza_sativa-Japonica_rice	Poaceae	Poales	Monocot
Panicum_virgatum-Switchgrass	Poaceae	Poales	Monocot
Phaseolus_vulgaris-Kidney_bean	Fabaceae	Fabales	Eudicot
Phoenix_dactylifera-Date_palm	Arecaceae	Arecales	Monocot
Physcomitrella_patens-Moss	Funariaceae	Funariales	EarlyPlant
Populus_euphratica-Euphrates_poplar	Salicaceae	Malpighiales	Eudicot
Populus_trichocarpa-Western_balsam_poplar	Salicaceae	Malpighiales	Eudicot
Prunus_mume-Japanese_apricot	Rosaceae	Rosales	Eudicot
Prunus_persica-Peach	Rosaceae	Rosales	Eudicot
Ricinus_communis-Castor_bean	Euphorbiaceae	Malpighiales	Eudicot
Selaginella_moellendorffii-Spikemoss	Selaginellaceae	Selaginellales	EarlyPlant
Sesamum_indicum-Oriental_sesame	Pedaliaceae	Lamiales	Eudicot
Setaria_italica-Foxtail_millet	Poaceae	Poales	Monocot
Solanum_lycopersicum-Tomato	Solanaceae	Solanales	Eudicot
Solanum_tuberosum-Potato	Solanaceae	Solanales	Eudicot
Sorghum_bicolor-Sorghum	Poaceae	Poales	Monocot
Glycine_max-Soybean	Fabaceae	Fabales	Eudicot
Spirodela_polyrhiza-Giant_duckweed	Araceae	Alismatales	Monocot
Tarenaya_hassleriana-spider_flower	Cleomaceae	Brassicales	Eudicot
Vitis_vinifera-Grape	Vitaceae	Vitales	Eudicot
