"Col-0_ID"	"Accession"	"Accession_ID"
"AT1G63080"	"Col-0_ID"	"AT1G63080"
"AT1G63130"	"Col-0_ID"	"AT1G63130"
"AT1G63400"	"Col-0_ID"	"AT1G63400"
"AT1G62910"	"Col-0_ID"	"AT1G62910"
"AT1G62914"	"Col-0_ID"	"AT1G62914"
"AT1G62930"	"Col-0_ID"	"AT1G62930"
"AT1G63150"	"Col-0_ID"	"AT1G63150"
"AT1G63070"	"Col-0_ID"	"AT1G63070"
"AT1G62590"	"Col-0_ID"	"AT1G62590"
"AT1G63330"	"Col-0_ID"	"AT1G63330"
"AT1G62670"	"Col-0_ID"	"AT1G62670"
"AT1G63630"	"Col-0_ID"	"AT1G63630"
"AT1G12775"	"Col-0_ID"	"AT1G12775"
"AT1G63320"	"Col-0_ID"	"AT1G63320"
"AT2G02750"	"Col-0_ID"	"AT2G02750"
"AT5G16640"	"Col-0_ID"	"AT5G16640"
"AT1G63230"	"Col-0_ID"	"AT1G63230"
"AT1G12300"	"Col-0_ID"	"AT1G12300"
"AT1G12620"	"Col-0_ID"	"AT1G12620"
"AT1G64583"	"Col-0_ID"	"AT1G64583"
"AT1G06580"	"Col-0_ID"	"AT1G06580"
"AT1G07590"	"Col-0_ID"	"AT1G07590"
"AT1G19720"	"Col-0_ID"	"AT1G19720"
"AT2G31400"	"Col-0_ID"	"AT2G31400"
"AT5G02830"	"Col-0_ID"	"AT5G02830"
"AT5G48910"	"Col-0_ID"	"AT5G48910"
"AT5G13770"	"Col-0_ID"	"AT5G13770"
"AT5G42310"	"Col-0_ID"	"AT5G42310"
"AT1G56570"	"Col-0_ID"	"AT1G56570"
"AT1G62720"	"Col-0_ID"	"AT1G62720"
"AT4G34830"	"Col-0_ID"	"AT4G34830"
"AT5G04810"	"Col-0_ID"	"AT5G04810"
"AT2G41720"	"Col-0_ID"	"AT2G41720"
"AT1G60770"	"Col-0_ID"	"AT1G60770"
"AT5G27300"	"Col-0_ID"	"AT5G27300"
"AT3G60960"	"Col-0_ID"	"AT3G60960"
"AT5G10690"	"Col-0_ID"	"AT5G10690"
"AT4G16390"	"Col-0_ID"	"AT4G16390"
"AT1G12700"	"Col-0_ID"	"AT1G12700"
"AT2G18940"	"Col-0_ID"	"AT2G18940"
"AT1G62680"	"Col-0_ID"	"AT1G62680"
"AT5G46580"	"Col-0_ID"	"AT5G46580"
"AT5G21222"	"Col-0_ID"	"AT5G21222"
"AT3G04260"	"Col-0_ID"	"AT3G04260"
"AT3G16710"	"Col-0_ID"	"AT3G16710"
"AT3G22150"	"Col-0_ID"	"AT3G22150"
"AT3G29230"	"Col-0_ID"	"AT3G29230"
"AT1G02150"	"Col-0_ID"	"AT1G02150"
"AT1G79540"	"Col-0_ID"	"AT1G79540"
"AT3G59040"	"Col-0_ID"	"AT3G59040"
"AT3G06430"	"Col-0_ID"	"AT3G06430"
"AT4G14190"	"Col-0_ID"	"AT4G14190"
"AT1G30610"	"Col-0_ID"	"AT1G30610"
"AT1G61870"	"Col-0_ID"	"AT1G61870"
"AT3G16010"	"Col-0_ID"	"AT3G16010"
"AT3G53700"	"Col-0_ID"	"AT3G53700"
"AT5G50280"	"Col-0_ID"	"AT5G50280"
"AT5G25630"	"Col-0_ID"	"AT5G25630"
"AT2G41080"	"Col-0_ID"	"AT2G41080"
"AT1G47580"	"Col-0_ID"	"AT1G47580"
"AT2G30100"	"Col-0_ID"	"AT2G30100"
"AT4G21190"	"Col-0_ID"	"AT4G21190"
"AT5G60960"	"Col-0_ID"	"AT5G60960"
"AT4G14050"	"Col-0_ID"	"AT4G14050"
"AT4G02820"	"Col-0_ID"	"AT4G02820"
"AT2G36240"	"Col-0_ID"	"AT2G36240"
"AT2G35130"	"Col-0_ID"	"AT2G35130"
"AT1G59720"	"Col-0_ID"	"AT1G59720"
"AT1G09820"	"Col-0_ID"	"AT1G09820"
"AT4G26680"	"Col-0_ID"	"AT4G26680"
"AT5G13270"	"Col-0_ID"	"AT5G13270"
"AT2G15690"	"Col-0_ID"	"AT2G15690"
"AT4G30825"	"Col-0_ID"	"AT4G30825"
"AT3G22690"	"Col-0_ID"	"AT3G22690"
"AT3G48810"	"Col-0_ID"	"AT3G48810"
"AT4G31850"	"Col-0_ID"	"AT4G31850"
"AT5G66520"	"Col-0_ID"	"AT5G66520"
"AT2G15820"	"Col-0_ID"	"AT2G15820"
"AT2G01860"	"Col-0_ID"	"AT2G01860"
"AT1G01970"	"Col-0_ID"	"AT1G01970"
"AT1G55890"	"Col-0_ID"	"AT1G55890"
"AT1G08610"	"Col-0_ID"	"AT1G08610"
"AT3G49730"	"Col-0_ID"	"AT3G49730"
"AT2G32230"	"Col-0_ID"	"AT2G32230"
"AT1G74850"	"Col-0_ID"	"AT1G74850"
"AT3G49142"	"Col-0_ID"	"AT3G49142"
"AT1G50270"	"Col-0_ID"	"AT1G50270"
"AT2G20710"	"Col-0_ID"	"AT2G20710"
"AT4G39620"	"Col-0_ID"	"AT4G39620"
"AT2G37230"	"Col-0_ID"	"AT2G37230"
"AT4G20090"	"Col-0_ID"	"AT4G20090"
"AT4G21900"	"Col-0_ID"	"AT4G21900"
"AT3G26630"	"Col-0_ID"	"AT3G26630"
"AT3G15590"	"Col-0_ID"	"AT3G15590"
"AT2G18520"	"Col-0_ID"	"AT2G18520"
"AT5G01110"	"Col-0_ID"	"AT5G01110"
"AT4G18975"	"Col-0_ID"	"AT4G18975"
"AT5G61800"	"Col-0_ID"	"AT5G61800"
"AT1G66345"	"Col-0_ID"	"AT1G66345"
"AT1G74750"	"Col-0_ID"	"AT1G74750"
"AT3G04760"	"Col-0_ID"	"AT3G04760"
"AT3G29290"	"Col-0_ID"	"AT3G29290"
"AT1G26460"	"Col-0_ID"	"AT1G26460"
"AT5G09450"	"Col-0_ID"	"AT5G09450"
"AT1G31920"	"Col-0_ID"	"AT1G31920"
"AT1G22960"	"Col-0_ID"	"AT1G22960"
"AT5G67570"	"Col-0_ID"	"AT5G67570"
"AT3G46610"	"Col-0_ID"	"AT3G46610"
"AT3G02490"	"Col-0_ID"	"AT3G02490"
"AT2G30780"	"Col-0_ID"	"AT2G30780"
"AT4G22760"	"Col-0_ID"	"AT4G22760"
"AT5G41170"	"Col-0_ID"	"AT5G41170"
"AT5G59900"	"Col-0_ID"	"AT5G59900"
"AT3G53170"	"Col-0_ID"	"AT3G53170"
"AT5G57250"	"Col-0_ID"	"AT5G57250"
"AT2G37310"	"Col-0_ID"	"AT2G37310"
"AT2G40240"	"Col-0_ID"	"AT2G40240"
"AT4G19440"	"Col-0_ID"	"AT4G19440"
"AT1G11710"	"Col-0_ID"	"AT1G11710"
"AT2G19280"	"Col-0_ID"	"AT2G19280"
"AT1G69350"	"Col-0_ID"	"AT1G69350"
"AT5G48730"	"Col-0_ID"	"AT5G48730"
"AT1G16480"	"Col-0_ID"	"AT1G16480"
"AT5G14770"	"Col-0_ID"	"AT5G14770"
"AT3G02650"	"Col-0_ID"	"AT3G02650"
"AT1G13410"	"Col-0_ID"	"AT1G13410"
"AT5G65570"	"Col-0_ID"	"AT5G65570"
"AT4G17616"	"Col-0_ID"	"AT4G17616"
"AT2G13600"	"Col-0_ID"	"AT2G13600"
"AT1G64100"	"Col-0_ID"	"AT1G64100"
"AT1G73710"	"Col-0_ID"	"AT1G73710"
"AT1G71210"	"Col-0_ID"	"AT1G71210"
"AT2G17033"	"Col-0_ID"	"AT2G17033"
"AT2G26790"	"Col-0_ID"	"AT2G26790"
"AT5G55840"	"Col-0_ID"	"AT5G55840"
"AT3G09650"	"Col-0_ID"	"AT3G09650"
"AT5G55740"	"Col-0_ID"	"AT5G55740"
"AT3G06920"	"Col-0_ID"	"AT3G06920"
"AT1G80270"	"Col-0_ID"	"AT1G80270"
"AT1G10270"	"Col-0_ID"	"AT1G10270"
"AT3G14730"	"Col-0_ID"	"AT3G14730"
"AT1G74900"	"Col-0_ID"	"AT1G74900"
"AT1G10910"	"Col-0_ID"	"AT1G10910"
"AT4G01030"	"Col-0_ID"	"AT4G01030"
