molecule	gene	start	end	strand	direction	Class
LR699760.1	ATCVI-1G76200.1	22912514	22910609	reverse	-1	siRNA-PPR
LR699760.1	ATCVI-1G76210.1	22912866	22914727	forward	1	other
LR699760.1	ATCVI-1G76220.1	22915769	22914845	reverse	-1	other
LR699760.1	ATCVI-1G76240.1	22919055	22921710	forward	1	other
LR699760.1	ATCVI-1G76250.1	22925533	22927777	forward	1	other
LR699760.1	ATCVI-1G76260.1	22932736	22936304	forward	1	other
LR699760.1	ATCVI-1G76270.1	22938803	22937189	reverse	-1	other
LR699760.1	ATCVI-1G76280.1	22942312	22940419	reverse	-1	siRNA-PPR
LR699760.1	ATCVI-1G76290.1	22945513	22943863	reverse	-1	non-siRNA-PPR
LR699760.1	ATCVI-1G76300.1	22946731	22946200	reverse	-1	other
LR699760.1	ATCVI-1G76320.1	22951639	22949934	reverse	-1	other
LR699760.1	ATCVI-1G76330.1	22962100	22959315	reverse	-1	other
LR699760.1	ATCVI-1G76340.1	22962816	22964274	forward	1	non-siRNA-PPR
LR699760.1	ATCVI-1G76350.1	22965364	22964449	reverse	-1	other
LR699760.1	ATCVI-1G76360.1	22966271	22968628	forward	1	other
LR699760.1	ATCVI-1G76370.1	22971558	22968869	reverse	-1	other
LR699760.1	ATCVI-1G76380.1	22973662	22972870	reverse	-1	other
LR699760.1	ATCVI-1G76390.1	22979098	22978346	reverse	-1	other
LR699760.1	ATCVI-1G76400.1	22983327	22981609	reverse	-1	other
LR699760.1	ATCVI-1G76410.1	22984589	22985697	forward	1	other
LR699760.1	ATCVI-1G76420.1	22989617	22986149	reverse	-1	other
LR699760.1	ATCVI-1G76430.1	22993679	22989982	reverse	-1	other
LR699760.1	ATCVI-1G76440.1	22996163	22995716	reverse	-1	other
LR699760.1	ATCVI-1G76450.1	22999067	22996532	reverse	-1	other
LR699760.1	ATCVI-1G76460.1	23002836	23003770	forward	1	other
LR699760.1	ATCVI-1G76470.1	23005573	23003969	reverse	-1	other
LR699760.1	ATCVI-1G76480.1	23008389	23006040	reverse	-1	other
LR699760.1	ATCVI-1G76490.1	23017284	23014989	reverse	-1	other
LR699760.1	ATCVI-1G76500.1	23023305	23024100	forward	1	other
LR699760.1	ATCVI-1G76510.1	23025210	23025508	forward	1	other
LR699760.1	non-coding	23026687	23028717	forward	1	non-coding
LR699760.1	ATCVI-1G76530.1	23029334	23031062	forward	1	siRNA-PPR
LR699760.1	ATCVI-1G76540.1	23031738	23031000	reverse	-1	other
LR699760.1	ATCVI-1G76560.1	23032072	23033595	forward	1	other
LR699760.1	ATCVI-1G76570.1	23038700	23038169	reverse	-1	other
LR699760.1	ATCVI-1G76580.1	23039833	23042022	forward	1	other
LR699760.1	ATCVI-1G76590.1	23044564	23047332	forward	1	other
LR699760.1	ATCVI-1G76600.1	23049500	23047541	reverse	-1	other
LR699760.1	ATCVI-1G76610.1	23052386	23054777	forward	1	other
LR699760.1	ATCVI-1G76620.1	23058848	23060470	forward	1	other
LR699760.1	ATCVI-1G76630.1	23061555	23061408	reverse	-1	other
LR699760.1	ATCVI-1G76640.1	23061674	23062883	forward	1	other
LR699760.1	ATCVI-1G76650.1	23063743	23064775	forward	1	other
LR699760.1	ATCVI-1G76660.1	23067474	23070365	forward	1	other
LR699760.1	ATCVI-1G76670.1	23074638	23075985	forward	1	other
LR699760.1	ATCVI-1G76690.1	23083070	23079894	reverse	-1	other
LR699760.1	ATCVI-1G76700.1	23093530	23087357	reverse	-1	other
LR699760.1	ATCVI-1G76750.1	23106615	23106069	reverse	-1	other
LR699760.1	ATCVI-1G76760.1	23119151	23117028	reverse	-1	other
LR699760.1	ATCVI-1G76770.1	23120723	23121086	forward	1	other
LR699760.1	ATCVI-1G76780.1	23123686	23124470	forward	1	other
LR699760.1	ATCVI-1G76790.1	23126797	23124952	reverse	-1	siRNA-PPR
LR699760.1	ATCVI-1G76800.1	23128668	23127346	reverse	-1	other
LR699760.1	ATCVI-1G76810.1	23137442	23135456	reverse	-1	other
LR699760.1	ATCVI-1G76820.1	23140748	23141117	forward	1	other
LR699760.1	ATCVI-1G76830.1	23141477	23144371	forward	1	other
LR699760.1	ATCVI-1G76840.1	23145005	23145294	forward	1	other
LR699760.1	ATCVI-1G76850.1	23147297	23145625	reverse	-1	other
LR699760.1	ATCVI-1G76860.1	23149455	23151348	forward	1	siRNA-PPR
LR699760.1	ATCVI-1G76870.1	23153769	23155192	forward	1	other
LR699760.1	ATCVI-1G76880.1	23157278	23155541	reverse	-1	other
LR699760.1	ATCVI-1G76890.1	23158086	23159598	forward	1	other
LR699760.1	ATCVI-1G76900.1	23161933	23160082	reverse	-1	other
LR699760.1	ATCVI-1G76910.1	23164382	23165552	forward	1	other
LR699760.1	ATCVI-1G76920.1	23167191	23166220	reverse	-1	other
LR699760.1	ATCVI-1G76930.1	23171278	23170289	reverse	-1	other
LR699760.1	ATCVI-1G76940.1	23172239	23173231	forward	1	other
LR699760.1	ATCVI-1G76950.1	23175959	23180093	forward	1	other
LR699760.1	ATCVI-1G76960.1	23181717	23182944	forward	1	other
LR699760.1	ATCVI-1G76970.1	23192204	23187201	reverse	-1	other
LR699760.1	ATCVI-1G76980.1	23200516	23198145	reverse	-1	other
LR699760.1	ATCVI-1G76990.1	23202735	23202492	reverse	-1	other
LR699760.1	ATCVI-1G77000.1	23208416	23205248	reverse	-1	other
LR699760.1	ATCVI-1G77010.1	23210910	23208939	reverse	-1	other
LR699760.1	ATCVI-1G77020.1	23212318	23211628	reverse	-1	other
LR699760.1	ATCVI-1G77030.1	23213307	23213670	forward	1	other
LR699760.1	ATCVI-1G77040.1	23215551	23214059	reverse	-1	other
LR699760.1	ATCVI-1G77050.1	23217263	23216089	reverse	-1	other
LR699760.1	ATCVI-1G77060.1	23224081	23227945	forward	1	other
LR699760.1	ATCVI-1G77070.1	23228920	23228455	reverse	-1	other
LR699760.1	ATCVI-1G77080.1	23232643	23230760	reverse	-1	siRNA-PPR
LR699760.1	ATCVI-1G77090.1	23236898	23235713	reverse	-1	other
LR699760.1	ATCVI-1G77100.1	23240842	23243731	forward	1	other
LR699760.1	ATCVI-1G77110.1	23247915	23251468	forward	1	other
LR699760.1	ATCVI-1G77120.1	23252726	23256181	forward	1	other
LR699760.1	ATCVI-1G77130.1	23257666	23259538	forward	1	other
LR699760.1	ATCVI-1G77140.1	23260145	23261352	forward	1	other
LR699760.1	ATCVI-1G77150.1	23263889	23261853	reverse	-1	other
LR699760.1	ATCVI-1G77160.1	23266721	23264894	reverse	-1	other
LR699760.1	ATCVI-1G77170.1	23278007	23269966	reverse	-1	other
LR699760.1	ATCVI-1G77180.1	23281036	23283433	forward	1	other
LR699760.1	ATCVI-1G77200.1	23285233	23286902	forward	1	other
LR699760.1	ATCVI-1G77210.1	23287586	23287280	reverse	-1	other
LR699760.1	ATCVI-1G77220.1	23288643	23290217	forward	1	other
LR699760.1	ATCVI-1G77230.1	23291207	23291024	reverse	-1	other
LR699760.1	ATCVI-1G77240.1	23292479	23294528	forward	1	other
LR699760.1	ATCVI-1G77250.1	23294891	23295921	forward	1	other
LR699760.1	ATCVI-1G77260.1	23300364	23301219	forward	1	other
LR699760.1	ATCVI-1G77270.1	23302248	23303170	forward	1	other
LR699760.1	ATCVI-1G77280.1	23304807	23305852	forward	1	other
LR699760.1	ATCVI-1G77290.1	23306723	23307735	forward	1	other
LR699760.1	ATCVI-1G77300.1	23310489	23308579	reverse	-1	other
LR699760.1	ATCVI-1G77310.1	23312410	23312131	reverse	-1	other
LR699760.1	ATCVI-1G77320.1	23312152	23313123	forward	1	siRNA-PPR
