ID	Pi	Tajima.D	theta_Watterson	Distance
AT1G01010	0.000542857	-0.007213157	0.007713499	0.000460271
AT1G01020	0.012030075	0.008404712	0.034710744	0.021033654
AT1G01030	0.001156463	0.002967874	0.007713499	0.000986537
AT1G01040	0.000526316	-0.008138706	0.007713499	0.000458115
AT1G01050	0	NA	NA	0
AT1G01060	0.000607143	0.002967874	0.007713499	0.000549096
AT1G01070	0.002040816	0.006670067	0.007713499	0.00170765
AT1G01080	0.000798319	-0.007213157	0.007713499	0.000673186
AT1G01090	0.000971429	0.002967874	0.007713499	0.000825563
AT1G01100	0.002261905	-0.007213157	0.007713499	0.001751475
AT1G01110	0.000760369	-0.01415477	0.007713499	0.000651042
AT1G01120	0.000276498	0.006670067	0.007713499	0.000236295
AT1G01130	0.006836735	0.012285162	0.012855831	0.005583333
AT1G01140	0.124137931	0.011263637	0.111712739	0.119854042
AT1G01150	0.004318182	0.008212151	0.014141414	0.004728385
AT1G01160	0.001043956	-0.007213157	0.007713499	0.001647534
AT1G01170	0.002142857	0.023329937	0.007713499	0.002948113
AT1G01180	0.004223602	0.003602615	0.009256198	0.005174513
AT1G01190	0.00140625	-0.009989802	0.007713499	0.001271802
AT1G01200	0.00744898	0.009733491	0.014141414	0.006390056
AT1G01210	0	NA	NA	0
AT1G01220	0.002879819	-0.019752791	0.009713295	0.002519042
AT1G01225	0.001666667	-0.024500024	0.012855831	0.001413114
AT1G01230	0.001666667	-0.021096382	0.007713499	0.001384494
AT1G01240	0.001804511	-0.003943566	0.012855831	0.001506024
AT1G01250	0.002207792	0.002967874	0.007713499	0.00183506
AT1G01260	0.001326531	0.000191229	0.007713499	0.001145657
AT1G01280	0.000619048	-0.009765889	0.011570248	0.000530007
AT1G01290	0.002455357	-0.009064254	0.007713499	0.002114084
AT1G01300	0.007315271	1.10E-05	0.013980716	0.00640528
AT1G01305	0.002619048	-0.009689628	0.008163265	0.002107885
AT1G01310	0.004897959	-0.003290663	0.009917355	0.004132231
AT1G01320	0.001521164	-0.006343903	0.009743367	0.001338454
AT1G01335	0	NA	NA	0
AT1G01340	0.002346939	-0.006189436	0.00981718	0.002018961
AT1G01350	0.0035	-0.002820754	0.012855831	0.003179506
AT1G01355	0.001734694	0.002967874	0.007713499	0.001574074
AT1G01360	0.001428571	0.001116777	0.007713499	0.001218972
AT1G01370	0.002	-0.022798203	0.010284665	0.001629423
AT1G01380	0.001	-0.021096382	0.007713499	0.000868056
AT1G01390	0.001650246	0.002042326	0.007713499	0.002057346
AT1G01400	0.002559524	-0.015303727	0.012855831	0.002184959
AT1G01410	0.000986395	-0.001435954	0.011570248	0.001013702
AT1G01420	0.002118227	-0.01667764	0.009427609	0.001858575
AT1G01430	0.001402116	-0.001104539	0.007713499	0.00120806
AT1G01440	0.000384615	-0.021096382	0.007713499	0.00056391
AT1G01450	0.009069264	-0.00185973	0.029139884	0.01604806
AT1G01453	0.000882353	-0.021096382	0.007713499	0.00094697
AT1G01460	0.002085714	0.000975574	0.010798898	0.001776674
AT1G01470	0	NA	NA	0
AT1G01480	0.00408867	-0.022159155	0.012672176	0.003479209
AT1G01490	0.001309524	0.001116777	0.007713499	0.00158046
AT1G01500	0.000451128	0.006670067	0.007713499	0.000381098
AT1G01510	0.00075188	-0.018061984	0.009641873	0.000654108
AT1G01520	0.002941176	-0.027780383	0.038567493	0.003573512
AT1G01530	0.000357143	-0.021096382	0.007713499	0.000405093
AT1G01540	0.001913265	-0.018901942	0.009641873	0.001805849
AT1G01550	0.000238095	-0.021096382	0.007713499	0.000208333
AT1G01560	0.000227273	-0.021096382	0.007713499	0.000197072
AT1G01570	0.00202381	-0.000322589	0.008815427	0.001848469
AT1G01580	0.000491071	-0.01415477	0.007713499	0.00042755
AT1G01590	0.000876623	-0.017129747	0.007713499	0.000797872
