molecule	gene	start	end	strand	direction	Class
LR699750.1	ATSHA-1G76458.1	22947385	22945480	reverse	-1	siRNA-PPR
LR699750.1	ATSHA-1G76459.1	22947728	22949507	forward	1	other
LR699750.1	ATSHA-1G76460.1	22950198	22952853	forward	1	other
LR699750.1	ATSHA-1G76470.1	22957528	22959764	forward	1	other
LR699750.1	ATSHA-1G76480.1	22964858	22968425	forward	1	other
LR699750.1	ATSHA-1G76490.1	22971575	22969682	reverse	-1	siRNA-PPR
LR699750.1	ATSHA-1G76500.1	22974808	22973161	reverse	-1	non-siRNA-PPR
LR699750.1	ATSHA-1G76510.1	22976036	22975505	reverse	-1	other
LR699750.1	ATSHA-1G76520.1	22981860	22980152	reverse	-1	other
LR699750.1	ATSHA-1G76530.1	22986084	22986473	forward	1	other
LR699750.1	ATSHA-1G76540.1	22992101	22989317	reverse	-1	other
LR699750.1	ATSHA-1G76550.1	22992995	22994276	forward	1	non-siRNA-PPR
LR699750.1	ATSHA-1G76560.1	22995366	22994451	reverse	-1	other
LR699750.1	ATSHA-1G76570.1	22996268	22998624	forward	1	other
LR699750.1	ATSHA-1G76580.1	23001565	22998865	reverse	-1	other
LR699750.1	ATSHA-1G76590.1	23003011	23002816	reverse	-1	other
LR699750.1	ATSHA-1G76600.1	23009244	23008492	reverse	-1	other
LR699750.1	ATSHA-1G76610.1	23013489	23011771	reverse	-1	other
LR699750.1	ATSHA-1G76620.1	23014790	23015903	forward	1	other
LR699750.1	ATSHA-1G76630.1	23019820	23016371	reverse	-1	other
LR699750.1	ATSHA-1G76640.1	23024086	23020200	reverse	-1	other
LR699750.1	ATSHA-1G76650.1	23026581	23026134	reverse	-1	other
LR699750.1	ATSHA-1G76660.1	23029485	23026950	reverse	-1	other
LR699750.1	ATSHA-1G76680.1	23033680	23034615	forward	1	other
LR699750.1	ATSHA-1G76690.1	23036422	23034819	reverse	-1	other
LR699750.1	ATSHA-1G76700.1	23038958	23036889	reverse	-1	other
LR699750.1	ATSHA-1G76710.1	23047478	23045195	reverse	-1	other
LR699750.1	ATSHA-1G76720.1	23053138	23054321	forward	1	other
LR699750.1	ATSHA-1G76730.1	23055432	23055731	forward	1	other
LR699750.1	ATSHA-1G76750.1	23057050	23058940	forward	1	siRNA-PPR
LR699750.1	ATSHA-1G76760.1	23059556	23061284	forward	1	siRNA-PPR
LR699750.1	ATSHA-1G76770.1	23061960	23061222	reverse	-1	other
LR699750.1	ATSHA-1G76780.1	23062288	23063285	forward	1	other
LR699750.1	ATSHA-1G76790.1	23064518	23066408	forward	1	siRNA-PPR
LR699750.1	ATSHA-1G76800.1	23067395	23066864	reverse	-1	other
LR699750.1	ATSHA-1G76810.1	23068537	23070773	forward	1	other
LR699750.1	ATSHA-1G76820.1	23073294	23076062	forward	1	other
LR699750.1	ATSHA-1G76830.1	23078230	23076271	reverse	-1	other
LR699750.1	ATSHA-1G76840.1	23080352	23082746	forward	1	other
LR699750.1	ATSHA-1G76850.1	23085923	23087549	forward	1	other
LR699750.1	ATSHA-1G76860.1	23088676	23088529	reverse	-1	other
LR699750.1	ATSHA-1G76870.1	23088795	23089986	forward	1	other
