ID	Chromosome	Count
LOC100790966	6	1
LOC100790651	7	1
LOC100776934	5	1
LOC100791770	10	1
LOC100813082	20	1
LOC100783217	7	1
LOC100794695	8	1
LOC100790613	13	1
LOC100817044	7	1
LOC100813319	7	1
LOC100817319	3	1
LOC102662618	10	1
LOC100817006	12	1
LOC100806492	12	1
LOC100798659	11	1
LOC100787792	13	1
LOC100803889	15	1
LOC106794624	9	1
LOC100803535	8	1
LOC100790038	3	1
LOC100780564	2	1
LOC100795962	2	1
LOC100810625	14	1
LOC100814666	11	1
LOC100795965	2	1
LOC100787179	18	1
LOC100780299	6	1
LOC100799614	15	1
LOC100818399	19	1
LOC100792776	8	1
LOC100795658	11	1
LOC100795030	7	1
LOC102664467	11	1
LOC100800532	8	1
LOC100795074	17	1
LOC100807416	14	1
LOC100819931	1	1
LOC100804535	5	1
LOC100795078	9	1
LOC100792116	3	1
LOC100792118	18	1
LOC100785525	15	1
LOC100788135	5	1
LOC100819668	20	1
LOC102669772	15	1
LOC100797731	17	1
LOC100812437	15	1
LOC100812166	11	1
LOC100775787	3	1
LOC100819008	8	1
LOC100793425	13	1
LOC100820602	7	1
LOC100778358	6	1
LOC100808101	20	1
LOC100775477	20	1
LOC106796311	15	1
LOC100809263	2	1
LOC100783911	6	1
LOC100808106	9	1
LOC100786292	3	1
LOC100805229	19	1
LOC100779971	6	1
LOC100786212	8	1
LOC100779660	9	1
LOC100782216	10	1
LOC100782218	3	1
LOC102666460	12	1
LOC100798734	14	1
LOC100817126	2	1
LOC100794739	16	1
LOC100790739	3	1
LOC100788992	11	1
LOC100780994	5	1
LOC100794116	13	1
LOC100818701	9	1
LOC100784647	1	1
LOC100780689	7	1
LOC100777780	20	1
LOC100788377	1	1
LOC102668851	9	1
LOC100788338	6	1
LOC102660854	20	1
LOC100818123	15	1
LOC100814164	12	1
LOC100784025	11	1
LOC102668855	4	1
LOC102664582	18	1
LOC100792544	13	1
LOC100777161	8	1
LOC100804693	4	1
LOC121172643	9	1
LOC100792234	15	1
LOC100799157	18	1
LOC100799117	1	1
LOC100804385	6	1
LOC100788251	18	1
LOC100812822	16	1
LOC100781687	18	1
LOC100804309	10	1
LOC100789374	13	1
LOC100819789	2	1
LOC100789335	11	1
LOC100778705	6	1
LOC100789069	8	1
LOC100819169	6	1
LOC100781029	6	1
LOC100812207	5	1
LOC100796427	14	1
LOC100786950	1	1
LOC102669506	8	1
LOC100796114	16	1
LOC100797548	17	1
LOC100786913	14	1
LOC102669236	20	1
LOC100801616	8	1
LOC100805658	15	1
LOC100801345	4	1
LOC100808229	3	1
LOC100801078	8	1
LOC100790541	3	1
LOC100798543	6	1
LOC100802924	12	1
LOC100802611	5	1
LOC100776556	12	1
LOC100798589	8	1
LOC100794549	2	1
LOC100806657	4	1
LOC102659603	19	1
LOC100818823	7	1
LOC100818511	1	1
LOC100795853	4	1
LOC100784104	15	1
LOC100787028	11	1
LOC100780147	14	1
LOC100791270	11	1
LOC102664664	13	1
LOC100777512	8	1
LOC102667548	9	1
LOC100799232	5	1
LOC100800731	2	1
LOC100795589	8	1
LOC100306721	11	1
LOC102660040	19	1
LOC100792318	11	1
LOC100804151	11	1
LOC102664046	12	1
LOC100792086	9	1
LOC100807076	7	1
LOC100811865	7	1
LOC100781412	15	1
LOC100789181	20	1
LOC100778820	3	1
LOC100789457	9	1
LOC100789101	9	1
LOC100781103	2	1
LOC100781186	5	1
LOC100789146	10	1
LOC100815287	16	1
LOC100808924	18	1
LOC100778551	6	1
LOC100781147	19	1
LOC100789149	18	1
LOC100815249	13	1
LOC100812093	16	1
LOC100775946	18	1
LOC100808380	10	1
LOC100805774	20	1
LOC100808343	1	1
LOC102661399	16	1
LOC100786721	7	1
LOC100797006	9	1
LOC100797008	17	1
LOC100809199	7	1
LOC100816513	7	1
LOC100779821	1	1
LOC100779822	8	1
LOC100779515	18	1
LOC100779200	20	1
LOC100790667	8	1
LOC102663746	1	1
LOC100794080	12	1
LOC102662001	7	1
LOC100806778	10	1
LOC100802423	5	1
LOC100806111	11	1
LOC100784842	9	1
LOC100788530	15	1
LOC100818679	8	1
LOC100799623	15	1
LOC100807730	20	1
LOC100800850	6	1
LOC100777321	7	1
LOC100804896	12	1
LOC100804582	7	1
LOC100807191	20	1
LOC100800858	14	1
LOC100804272	16	1
LOC100804589	15	1
LOC100804275	16	1
LOC100800235	19	1
LOC100781261	8	1
LOC100788188	8	1
LOC102665781	4	1
LOC112997677	16	1
LOC100778632	10	1
LOC100793742	4	1
LOC113000421	19	1
LOC100796315	17	1
LOC102669476	15	1
LOC100797162	16	1
LOC113001859	6	1
LOC100808427	4	1
LOC100801230	8	1
LOC100783921	7	1
LOC100805547	10	1
LOC100805233	20	1
LOC100783968	9	1
LOC100782220	18	1
LOC100820389	5	1
LOC100817794	1	1
LOC100813712	16	1
LOC100809239	9	1
LOC100783613	2	1
LOC100816677	14	1
LOC100783386	7	1
LOC102663822	6	1
LOC100779635	8	1
LOC100783034	8	1
LOC100817407	15	1
LOC100802813	6	1
LOC100791867	14	1
LOC100798435	9	1
LOC100779093	14	1
LOC100806858	5	1
LOC100779368	4	1
LOC100787841	16	1
LOC100787847	9	1
LOC102659807	1	1
LOC100787807	7	1
LOC102663208	16	1
LOC100776139	18	1
LOC100814796	2	1
LOC100788616	3	1
LOC100810402	5	1
LOC102660822	15	1
LOC100818133	16	1
LOC102660550	3	1
LOC100795787	17	1
LOC102667121	15	1
LOC100807542	4	1
LOC100792512	20	1
LOC100792280	17	1
LOC100804661	10	1
LOC100791479	13	1
LOC100781960	8	1
LOC100807506	10	1
LOC100804311	10	1
LOC100807278	16	1
LOC100815792	7	1
LOC100777139	7	1
LOC100306302	12	1
LOC112997711	9	1
LOC100785384	2	1
LOC100788229	9	1
LOC100797551	2	1
LOC102665512	2	1
LOC102669594	2	1
LOC100801933	14	1
LOC100811179	15	1
LOC106796792	18	1
LOC100778405	1	1
LOC100775879	14	1
LOC100793516	18	1
LOC100808587	10	1
LOC100809665	3	1
LOC100809627	9	1
LOC100786610	17	1
LOC100805354	2	1
LOC100805000	10	1
LOC100805041	11	1
LOC100801084	17	1
LOC100786343	20	1
LOC100782031	3	1
LOC100783779	9	1
LOC100809049	8	1
LOC100782387	10	1
LOC100776870	10	1
LOC100816489	13	1
LOC100798825	18	1
LOC100806973	10	1
LOC100786038	14	1
LOC100806937	16	1
LOC100776252	8	1
LOC100787964	6	1
LOC100802395	4	1
LOC100790288	14	1
LOC100798248	8	1
LOC100802082	13	1
LOC100787612	13	1
LOC100806042	8	1
LOC100806316	20	1
LOC102663055	14	1
LOC100810873	3	1
LOC106794528	9	1
LOC100802087	6	1
LOC102670454	15	1
LOC100788461	4	1
LOC100787070	13	1
LOC100806006	6	1
LOC102667863	13	1
LOC100784425	6	1
LOC102668900	16	1
LOC100818251	9	1
LOC100780195	17	1
LOC102664984	5	1
LOC100810527	2	1
LOC100807932	13	1
LOC100792633	18	1
LOC102664320	19	1
LOC100795559	7	1
LOC102668678	16	1
LOC100799205	12	1
LOC100812993	1	1
LOC100807089	7	1
LOC100306428	12	1
LOC100811878	7	1
LOC102665980	8	1
LOC100812370	4	1
LOC100785113	5	1
LOC100778561	14	1
LOC100796513	10	1
LOC102661989	18	1
LOC100775643	12	1
LOC100808394	3	1
LOC106796564	16	1
LOC100796249	14	1
LOC100797093	12	1
LOC100793014	19	1
LOC100782735	2	1
LOC100783580	16	1
LOC100808007	16	1
LOC100813915	17	1
LOC100813684	15	1
LOC100782157	8	1
LOC100806780	10	1
LOC100817022	5	1
LOC100813379	17	1
LOC100790321	16	1
LOC100794364	1	1
LOC100779215	20	1
LOC100790367	18	1
LOC100790096	6	1
LOC100798097	10	1
LOC100794017	17	1
LOC113002167	7	1
LOC100780582	18	1
LOC100818600	12	1
LOC100788816	20	1
LOC100818684	1	1
LOC100814643	3	1
LOC100784587	5	1
LOC100795944	1	1
LOC100818060	5	1
LOC100818021	10	1
LOC100807700	11	1
LOC100791321	13	1
LOC100792713	12	1
LOC100804821	9	1
LOC100777919	18	1
LOC106795994	14	1
LOC100799638	1	1
LOC100799053	5	1
LOC100819993	4	1
LOC100819996	4	1
LOC100811600	2	1
LOC100789899	13	1
LOC100789543	5	1
LOC100781818	9	1
LOC100785546	16	1
LOC100778991	18	1
LOC100811023	1	1
LOC100811379	17	1
LOC100796677	2	1
LOC100808784	12	1
LOC100775763	17	1
LOC100812458	1	1
LOC100808787	20	1
LOC100819027	16	1
LOC100793484	17	1
LOC100778062	9	1
LOC100778378	7	1
LOC100796014	11	1
LOC100786895	13	1
LOC100816601	3	1
LOC100805207	3	1
LOC100809249	9	1
LOC100820049	6	1
LOC100779600	13	1
LOC100786237	16	1
LOC100813729	17	1
LOC100783041	8	1
LOC102662754	6	1
LOC100813184	16	1
LOC102662400	1	1
LOC100779372	11	1
LOC100790756	4	1
LOC100813146	14	1
LOC102666130	16	1
LOC100794718	17	1
LOC100802551	18	1
LOC100806592	9	1
LOC100794132	7	1
LOC100803987	11	1
LOC100787851	17	1
LOC100798448	17	1
LOC100803907	1	1
LOC100790449	6	1
LOC100806557	15	1
LOC100776103	9	1
LOC100814450	17	1
LOC100818767	12	1
LOC100788628	11	1
LOC100803016	1	1
LOC100780355	1	1
LOC100814497	11	1
LOC100818185	2	1
LOC100807592	13	1
LOC100795404	8	1
LOC100807868	19	1
LOC102664565	11	1
LOC102668293	6	1
LOC100804906	13	1
LOC100804908	13	1
LOC100804364	5	1
LOC100804639	2	1
LOC102664218	12	1
LOC100819721	7	1
LOC100804011	5	1
LOC100804053	14	1
LOC100789393	6	1
LOC100812887	11	1
LOC100796795	7	1
LOC100812849	17	1
LOC102669560	20	1
LOC113001901	6	1
LOC100819187	15	1
LOC100775884	7	1
LOC100789088	8	1
LOC100796404	13	1
LOC100809945	8	1
LOC100812269	16	1
LOC100778415	17	1
LOC100801907	13	1
LOC100797568	10	1
LOC106796767	17	1
LOC100782934	18	1
LOC100797216	18	1
LOC102661218	15	1
LOC100801366	5	1
LOC100786395	15	1
LOC100816768	19	1
LOC100813805	4	1
LOC100816100	19	1
LOC102663951	9	1
LOC100813220	2	1
LOC100786087	16	1
LOC100779493	2	1
LOC100782048	11	1
LOC100798564	7	1
LOC100779141	2	1
LOC102659979	9	1
LOC100806010	6	1
LOC100790259	12	1
LOC100802052	4	1
LOC100803445	11	1
LOC100806053	9	1
LOC100776269	16	1
LOC100802054	4	1
LOC100788743	9	1
LOC100784704	3	1
LOC100784707	18	1
LOC100818848	1	1
LOC100799560	5	1
LOC100807983	8	1
LOC100787089	6	1
LOC100807903	20	1
LOC102668682	5	1
LOC102664997	7	1
LOC100814226	8	1
LOC100795211	15	1
LOC100804442	1	1
LOC100792064	8	1
LOC106795222	12	1
LOC100800448	20	1
LOC100819570	16	1
LOC100804176	12	1
LOC100789435	16	1
LOC100797910	9	1
LOC100808981	5	1
LOC100812343	11	1
LOC102665683	19	1
LOC100808631	9	1
LOC100789169	19	1
LOC100812307	2	1
LOC100801400	7	1
LOC100797063	19	1
LOC100805136	8	1
LOC100798950	8	1
LOC100813927	10	1
LOC102662910	20	1
LOC100805139	8	1
LOC100813380	2	1
LOC100798332	4	1
LOC100803872	7	1
LOC100794606	19	1
LOC100802795	13	1
LOC100776657	9	1
LOC100813079	20	1
LOC100791769	2	1
LOC100794338	7	1
LOC100803526	7	1
LOC100803568	9	1
LOC100814966	9	1
LOC100818966	13	1
LOC102659476	4	1
LOC112999808	16	1
LOC100780518	8	1
LOC100818346	18	1
LOC100810305	1	1
LOC100792726	13	1
LOC100795649	3	1
LOC100807173	11	1
LOC100789865	19	1
LOC100811926	9	1
LOC100800298	13	1
LOC100789597	15	1
LOC100781204	13	1
LOC100815618	7	1
LOC100778650	19	1
LOC100819387	8	1
LOC100796644	8	1
LOC100778693	13	1
LOC100809831	11	1
LOC100811076	10	1
LOC100812155	19	1
LOC102665496	18	1
LOC100775736	1	1
LOC100793100	15	1
LOC100801523	20	1
LOC100793417	20	1
LOC100820050	14	1
LOC100801257	17	1
LOC100786599	9	1
LOC100816034	9	1
LOC102663842	2	1
LOC100783369	6	1
LOC100798451	2	1
LOC100798492	11	1
LOC100779301	9	1
LOC100802835	15	1
LOC100776422	6	1
LOC100798456	2	1
LOC100803602	18	1
LOC100794103	13	1
LOC100803685	6	1
LOC100798106	18	1
LOC100788946	2	1
LOC100806216	1	1
LOC100780947	3	1
LOC100780322	14	1
LOC100780678	6	1
LOC100814463	10	1
LOC100780090	4	1
LOC100784365	19	1
LOC100810110	15	1
LOC100784052	20	1
LOC100795766	8	1
LOC102660845	1	1
LOC100800995	12	1
LOC102660808	13	1
LOC100791183	8	1
LOC100791459	4	1
LOC100795459	2	1
LOC102660265	3	1
LOC100800686	8	1
LOC121172635	11	1
LOC100792265	1	1
LOC100807213	13	1
LOC100807218	13	1
LOC100781679	10	1
LOC100804069	8	1
LOC100815191	11	1
LOC100812545	20	1
LOC100781013	13	1
LOC100811113	4	1
LOC102661570	6	1
LOC100819113	11	1
LOC100815155	10	1
LOC100778420	9	1
LOC100781017	6	1
LOC100801994	9	1
LOC100801996	17	1
LOC100805684	1	1
LOC100797263	5	1
LOC100808258	5	1
LOC100782321	7	1
LOC100782677	8	1
LOC100816463	4	1
LOC100782325	15	1
LOC100817501	3	1
LOC100801069	16	1
LOC100783405	15	1
LOC100817231	8	1
LOC100779775	13	1
LOC100794804	12	1
LOC100813509	15	1
LOC100791611	3	1
LOC100790576	11	1
LOC100806999	3	1
LOC100791654	12	1
LOC102666538	4	1
LOC100802330	1	1
LOC102666224	6	1
LOC100802331	9	1
LOC106798272	3	1
LOC100500196	19	1
LOC100818857	9	1
LOC100810899	11	1
LOC100814270	2	1
LOC100818504	16	1
LOC100818231	12	1
LOC102667531	1	1
LOC100780408	3	1
LOC100807681	10	1
LOC100777584	19	1
LOC102668656	13	1
LOC100789790	16	1
LOC100804411	14	1
LOC100800182	1	1
LOC102664309	18	1
LOC100781755	6	1
LOC100781797	16	1
LOC100815857	17	1
LOC100819857	20	1
LOC100796880	3	1
LOC102669963	15	1
LOC100819233	9	1
LOC100788016	16	1
LOC100789449	9	1
LOC100808913	2	1
LOC100815237	13	1
LOC100797694	15	1
LOC100812317	10	1
LOC100775939	17	1
LOC100808606	11	1
LOC100778274	18	1
LOC100775626	4	1
LOC100775312	5	1
LOC100809412	8	1
LOC100805183	2	1
LOC106796589	16	1
LOC100786756	8	1
LOC100798961	9	1
LOC100782448	13	1
LOC100786133	19	1
LOC100798923	15	1
LOC100798964	9	1
LOC100783568	15	1
