	ATCT-1G63230.1-1665	ATCol-1G63230.1-1813	ATAN-1G80540.1-1058	ATERI-1G74470.1-1058	ATLER-1G76330.1-1058	ATERI-1G74910.1-1133	ATKYO-1G76010.1-971	ATSHA-1G77500.1-971	ATCT-1G63630.1-923	ATCVI-1G77320.1-971	ATAN-1G80900.1-971	ATCol-1G63630.1-1355	ATCVI-5G26760.1-1515	ATLER-5G26670.1-1515	ATAN-5G26670.1-1515	ATSHA-5G26670.1-1515	ATCol-5G16640.1-2097	ATCT-5G16640.1-2042	ATERI-5G26820.1-1515	ATKYO-5G26600.1-1515	ATAN-1G80660.1-1911	ATCol-1G63400.1-2307	ATERI-1G74680.1-1734	ATLER-1G76540.1-1734	ATCT-1G63400.1-1734	ATAN-1G79760.1-1905	ATKYO-1G74810.1-1905	ATERI-1G73710.1-1905	ATLER-1G75520.1-1902	ATAN-1G79840.1-1905	ATKYO-1G74890.1-1905	ATSHA-1G76458.1-1905	ATCol-1G62590.1-2319	ATCT-1G62590.1-2319	ATCVI-1G76200.1-1905	ATCol-1G63330.1-1715	ATCT-1G63330.1-1914	ATCol-1G62914.1-1848	ATCT-1G62914.1-1575	ATCVI-1G76530.1-1728	ATAN-1G80130.1-1734	ATLER-1G75870.1-1728	ATERI-1G74040.1-1728	ATKYO-1G75190.1-1728	ATSHA-1G76760.1-1728	ATCol-1G62910.1-2194	ATCT-1G62910.1-1902	ATCT-1G62670.1-1895	ATCol-1G62670.1-2567	ATSHA-1G76490.1-1893	ATCVI-1G76280.1-1893	ATLER-1G75600.1-1893	ATSHA-1G76750.1-1890	ATAN-1G79890.1-1893	ATKYO-1G74940.1-1893	ATERI-1G74030.1-1893	ATAN-1G80440.1-1890	ATERI-1G74360.1-1890	ATLER-1G76220.1-1890	ATKYO-1G75560.1-1890	ATSHA-1G77060.1-1890	ATCol-1G63150.1-2421	ATCT-1G63150.1-2184	ATSHA-1G76790.1-1890	ATLER-1G75900.1-1890	ATKYO-1G75220.1-1890	ATERI-1G74070.1-1890	ATCT-1G62930.1-2151	ATAN-1G80160.1-1890	ATCol-1G62930.1-2153	ATCT-1G63320.1-792	ATCol-1G63320.1-695	ATKYO-1G75770.1-648	ATAN-1G80650.1-648	ATERI-1G74580.1-648	ATLER-1G76440.1-648	ATSHA-1G77270.1-648	ATCVI-1G77080.1-1884	ATERI-1G74340.1-1893	ATCVI-1G76860.1-1893	ATKYO-1G75540.1-1893	ATLER-1G76200.1-1893	ATSHA-1G77040.1-1893	ATCT-1G63130.1-2223	ATAN-1G80420.1-1893	ATCol-1G63130.1-2638	ATCol-1G63070.1-1844	ATCT-1G63070.1-1858	ATCVI-1G76790.1-1845	ATERI-1G74270.1-1844	ATAN-1G80360.1-1845	ATKYO-1G75480.1-1845	ATLER-1G76140.1-1845	ATCol-1G63080.1-3243	ATCT-1G63080.1-3186
ATCT-1G63230.1-1665		96.817	97.736	97.642	97.642	87.467	87.193	87.193	87.378	86.373	86.475	83.522	45.375	45.317	45.433	45.433	43.516	43.516	45.433	45.492	52.291	52.561	54.269	54.269	54.269	52.615	52.615	52.615	52.399	52.399	52.399	52.399	52.291	52.426	52.291	54.804	52.075	56.516	56.087	53.855	54.297	54.255	54.255	54.255	54.198	53.1	53.1	52.48	52.83	52.938	52.722	52.83	52.938	52.884	52.884	52.345	52.484	52.376	52.376	52.376	52.376	52.43	52.322	51.7	51.592	51.997	51.862	52.024	51.97	52.024	43.844	43.543	41.312	41.482	41.482	41.482	41.482	52.814	53.539	53.269	53.431	53.431	53.431	53.323	53.377	53.214	50.517	50.433	51.856	51.911	52.964	52.909	52.909	52.589	52.481
ATCol-1G63230.1-1813	96.817		99.811	99.716	99.716	87.467	86.066	86.066	86.457	85.861	85.963	82.051	45.253	45.195	45.253	45.253	42.229	42.409	45.253	45.312	52.185	50.943	53.512	53.512	53.512	52.289	52.289	52.289	52.081	52.133	52.133	52.133	51.129	51.154	52.081	54.371	51.603	53.815	55.093	53.17	53.5	53.455	53.455	53.455	53.398	51.44	52.686	52.581	51.738	52.923	52.714	52.818	52.505	52.61	52.61	52.035	52.326	52.222	52.222	52.222	52.222	51.145	52.192	51.143	51.04	51.507	51.299	51.377	51.299	51.403	44.508	44.54	42.593	42.747	42.747	42.747	42.747	52.488	52.929	52.824	52.981	52.981	52.981	52.119	52.929	51.944	50.211	50.079	51.501	51.608	52.304	52.251	52.251	51.221	51.119
ATAN-1G80540.1-1058	97.736	99.811		99.905	99.905	87.643	86.27	86.27	86.674	86.066	86.168	85.437	45.946	45.946	46.033	46.033	45.946	45.946	45.946	46.033	57.722	57.808	57.808	57.808	57.808	57.895	57.895	57.895	57.808	57.981	57.981	57.895	57.808	57.679	57.722	57.636	57.636	59.738	59.738	57.55	57.377	57.377	57.377	57.377	57.291	58.067	58.067	57.852	57.895	57.895	57.808	57.808	57.808	57.808	57.808	57.463	56.946	56.773	56.773	56.773	56.773	56.946	56.773	57.118	56.946	57.55	57.463	57.463	57.463	57.55	47.355	47.959	45.475	45.701	45.701	45.701	45.701	57.981	57.808	57.636	57.55	57.55	57.55	57.55	57.722	57.463	55.039	54.476	56.083	56.169	57.291	57.291	57.291	57.636	57.636
ATERI-1G74470.1-1058	97.642	99.716	99.905		100	87.555	86.168	86.168	86.566	85.963	86.066	85.349	45.859	45.859	45.946	45.946	45.859	45.859	45.859	45.946	57.636	57.722	57.722	57.722	57.722	57.808	57.808	57.808	57.722	57.895	57.895	57.808	57.722	57.593	57.636	57.55	57.55	59.644	59.644	57.463	57.291	57.291	57.291	57.291	57.204	57.981	57.981	57.765	57.808	57.808	57.722	57.722	57.722	57.722	57.722	57.377	56.859	56.687	56.687	56.687	56.687	56.859	56.687	57.032	56.859	57.463	57.377	57.377	57.377	57.463	47.184	47.755	45.249	45.475	45.475	45.475	45.475	57.895	57.722	57.55	57.463	57.463	57.463	57.463	57.636	57.377	54.953	54.39	55.997	56.083	57.204	57.204	57.204	57.55	57.55
ATLER-1G76330.1-1058	97.642	99.716	99.905	100		87.555	86.168	86.168	86.566	85.963	86.066	85.349	45.859	45.859	45.946	45.946	45.859	45.859	45.859	45.946	57.636	57.722	57.722	57.722	57.722	57.808	57.808	57.808	57.722	57.895	57.895	57.808	57.722	57.593	57.636	57.55	57.55	59.644	59.644	57.463	57.291	57.291	57.291	57.291	57.204	57.981	57.981	57.765	57.808	57.808	57.722	57.722	57.722	57.722	57.722	57.377	56.859	56.687	56.687	56.687	56.687	56.859	56.687	57.032	56.859	57.463	57.377	57.377	57.377	57.463	47.184	47.755	45.249	45.475	45.475	45.475	45.475	57.895	57.722	57.55	57.463	57.463	57.463	57.463	57.636	57.377	54.953	54.39	55.997	56.083	57.204	57.204	57.204	57.55	57.55
ATERI-1G74910.1-1133	87.467	87.467	87.643	87.555	87.555		95.184	95.184	95.775	96.209	96.311	96.646	48.318	48.404	48.576	48.576	48.49	48.49	48.49	48.576	61.432	61.432	61.432	61.432	61.519	61.432	61.432	61.432	61.346	61.26	61.26	61.173	61.087	60.958	60.828	60.742	60.742	63.858	63.858	61.346	60.915	60.915	61.001	61.001	60.915	61.26	61.26	61.389	61.432	61.432	61.26	61.26	61.346	60.915	60.915	60.742	61.001	60.828	60.828	60.828	60.828	60.915	60.742	61.173	60.311	60.828	60.742	60.742	60.742	60.828	52.133	53.469	51.584	51.81	51.81	51.81	51.81	61.95	61.605	61.432	61.346	61.346	61.432	61.519	61.605	61.346	58.312	57.886	59.534	59.62	60.138	60.138	60.138	60.483	60.483
ATKYO-1G76010.1-971	87.193	86.066	86.27	86.168	86.168	95.184		100	98.05	98.043	98.249	98.146	55.065	55.165	55.366	55.366	55.266	55.266	55.266	55.366	61.277	60.579	60.579	60.579	60.679	61.277	61.277	61.277	61.178	60.679	60.679	60.579	60.379	60.429	60.18	60.08	60.08	63.008	63.008	59.98	59.78	59.78	59.78	59.78	59.681	60.778	60.778	60.13	60.379	60.379	60.379	60.379	60.18	61.078	61.078	61.277	60.18	59.98	59.98	59.98	59.98	59.88	59.681	60.679	60.379	61.277	61.277	61.577	61.577	61.577	52.133	53.469	51.357	51.584	51.584	51.584	51.584	60.878	61.377	61.178	61.178	61.178	61.178	61.078	61.377	61.078	57.769	57.185	59.082	59.082	60.18	60.18	60.18	60.379	60.379
ATSHA-1G77500.1-971	87.193	86.066	86.27	86.168	86.168	95.184	100		98.05	98.043	98.249	98.146	55.065	55.165	55.366	55.366	55.266	55.266	55.266	55.366	61.277	60.579	60.579	60.579	60.679	61.277	61.277	61.277	61.178	60.679	60.679	60.579	60.379	60.429	60.18	60.08	60.08	63.008	63.008	59.98	59.78	59.78	59.78	59.78	59.681	60.778	60.778	60.13	60.379	60.379	60.379	60.379	60.18	61.078	61.078	61.277	60.18	59.98	59.98	59.98	59.98	59.88	59.681	60.679	60.379	61.277	61.277	61.577	61.577	61.577	52.133	53.469	51.357	51.584	51.584	51.584	51.584	60.878	61.377	61.178	61.178	61.178	61.178	61.078	61.377	61.078	57.769	57.185	59.082	59.082	60.18	60.18	60.18	60.379	60.379
ATCT-1G63630.1-923	87.378	86.457	86.674	86.566	86.566	95.775	98.05	98.05		98.375	98.592	98.483	57.85	57.956	58.166	58.166	58.061	58.061	58.061	58.166	60.485	59.431	59.431	59.431	59.431	60.59	60.59	60.59	60.485	59.747	59.747	59.642	59.536	59.589	59.326	59.22	59.22	62.296	62.296	58.957	58.851	58.851	58.957	58.957	58.851	60.063	60.063	59.589	59.852	59.852	59.852	59.852	59.22	60.643	60.643	60.801	59.958	59.747	59.747	59.747	59.747	59.642	59.431	60.169	59.958	61.012	61.012	61.117	61.117	61.117	52.645	54.082	52.036	52.262	52.262	52.262	52.262	60.063	60.801	60.59	60.59	60.59	60.59	60.485	60.801	60.485	57.098	56.49	58.535	58.43	58.957	58.957	58.957	59.168	59.168
ATCVI-1G77320.1-971	86.373	85.861	86.066	85.963	85.963	96.209	98.043	98.043	98.375		99.588	99.485	54.764	54.865	55.065	55.065	54.965	54.965	54.965	55.065	60.379	59.481	59.481	59.481	59.581	60.379	60.379	60.379	60.279	59.88	59.88	59.78	59.581	59.631	59.381	59.281	59.281	62.02	62.02	59.182	58.782	58.782	58.882	58.882	58.782	60.08	60.08	59.731	59.78	59.78	59.78	59.78	59.281	60.379	60.379	60.579	59.78	59.581	59.581	59.581	59.581	59.581	59.381	60.08	59.88	60.878	60.778	60.878	60.878	60.878	52.133	53.469	51.584	51.81	51.81	51.81	51.81	60.279	60.679	60.479	60.479	60.479	60.479	60.379	60.679	60.379	57.271	56.693	58.782	58.782	59.182	59.182	59.182	59.381	59.381
