ChrID	Start	End	AT1G62590	AT1G63630	Accession
CACRSJ010000104.1	1	30401407	23110819	23501205	An-1
Chr1	1	30427671	23176929	23588421	Col-0
Chr1	1	30012443	22809396	23211306	Ct-1
LR699760.1	1	30222096	22910609	23313123	Cvi-1
LR699765.1	1	29179729	21873659	22287765	Eri-1
LR699755.1	1	29653075	22371188	22765794	Kyo-1
LR699770.1	1	30044432	22758066	23039320	Ler-0
LR699750.1	1	30243366	22945480	23329503	Sha
