PPR	Group
ATCT-1G63320.1-792	G1
ATCol-1G63320.1-695	G1
ATKYO-1G75770.1-648	G1
ATSHA-1G77270.1-648	G1
ATLER-1G76440.1-648	G1
ATAN-1G80650.1-648	G1
ATERI-1G74580.1-648	G1
ATCol-1G63070.1-1844	G1
ATCT-1G63070.1-1858	G1
ATCol-1G63080.1-3243	G1
ATCT-1G63080.1-3186	G1
ATAN-1G80360.1-1845	G1
ATKYO-1G75480.1-1845	G1
ATLER-1G76140.1-1845	G1
ATCVI-1G76790.1-1845	G1
ATERI-1G74270.1-1844	G1
ATCT-1G62930.1-2151	G1
ATCol-1G62930.1-2153	G1
ATSHA-1G76790.1-1890	G1
ATLER-1G75900.1-1890	G1
ATAN-1G80160.1-1890	G1
ATKYO-1G75220.1-1890	G1
ATERI-1G74070.1-1890	G1
ATCT-1G63130.1-2223	G1
ATCol-1G63130.1-2638	G1
ATERI-1G74340.1-1893	G1
ATAN-1G80420.1-1893	G1
ATCVI-1G76860.1-1893	G1
ATSHA-1G77040.1-1893	G1
ATKYO-1G75540.1-1893	G1
ATLER-1G76200.1-1893	G1
ATCol-1G62670.1-2567	G1
ATCT-1G62670.1-1895	G1
ATSHA-1G76490.1-1893	G1
ATCVI-1G76280.1-1893	G1
ATLER-1G75600.1-1893	G1
ATSHA-1G76750.1-1890	G1
ATERI-1G74030.1-1893	G1
ATAN-1G79890.1-1893	G1
ATKYO-1G74940.1-1893	G1
ATCol-1G62910.1-2194	G1
ATAN-1G80660.1-1911	G1
ATCT-1G62910.1-1902	G1
ATCVI-1G77080.1-1884	G1
ATCVI-1G76530.1-1728	G1
ATAN-1G80130.1-1734	G1
ATSHA-1G76760.1-1728	G1
ATLER-1G75870.1-1728	G1
ATERI-1G74040.1-1728	G1
ATKYO-1G75190.1-1728	G1
ATCol-1G62914.1-1848	G1
ATCT-1G62914.1-1575	G1
ATAN-1G80440.1-1890	G1
ATERI-1G74360.1-1890	G1
ATLER-1G76220.1-1890	G1
ATKYO-1G75560.1-1890	G1
ATSHA-1G77060.1-1890	G1
ATCol-1G63150.1-2421	G1
ATCT-1G63150.1-2184	G1
ATCol-1G63400.1-2307	G1
ATCT-1G63400.1-1734	G1
ATERI-1G74680.1-1734	G1
ATLER-1G76540.1-1734	G1
ATCol-1G62590.1-2319	G1
ATCT-1G62590.1-2319	G1
ATCol-1G63330.1-1715	G1
ATCT-1G63330.1-1914	G1
ATLER-1G75520.1-1902	G1
ATERI-1G73710.1-1905	G1
ATAN-1G79760.1-1905	G1
ATKYO-1G74810.1-1905	G1
ATCVI-1G76200.1-1905	G1
ATSHA-1G76458.1-1905	G1
ATAN-1G79840.1-1905	G1
ATKYO-1G74890.1-1905	G1
ATCol-5G16640.1-2097	G2
ATCT-5G16640.1-2042	G2
ATCVI-5G26760.1-1515	G2
ATLER-5G26670.1-1515	G2
ATAN-5G26670.1-1515	G2
ATSHA-5G26670.1-1515	G2
ATERI-5G26820.1-1515	G2
ATKYO-5G26600.1-1515	G2
ATAN-1G80540.1-1058	G3
ATERI-1G74470.1-1058	G3
ATLER-1G76330.1-1058	G3
ATCT-1G63230.1-1665	G3
ATCol-1G63230.1-1813	G3
ATCol-1G63630.1-1355	G3
ATERI-1G74910.1-1133	G3
ATCT-1G63630.1-923	G3
ATKYO-1G76010.1-971	G3
ATSHA-1G77500.1-971	G3
ATCVI-1G77320.1-971	G3
ATAN-1G80900.1-971	G3
